CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
3326	3399	-28.031	0.000	0.8854	0.6996	1
3326	3404	485.299	0.000	0.7887	0.6348	1
3326	3447	457.304	0.000	0.7516	0.4150	1
3326	3455	486.283	0.000	0.7496	0.6153	1
3326	3500	-190.085	0.000	0.7616	0.5202	1
3326	3511	503.310	0.000	0.7668	0.4923	1
3326	3552	-2.015	0.000	0.8937	0.7878	1
3326	3611	487.315	0.000	0.7420	0.5948	1
3326	3639	485.299	0.000	0.7205	0.5301	1
3326	3705	487.315	0.000	0.7435	0.6440	1
3326	3712	349.230	0.000	0.7036	0.4964	1
3326	3728	49.978	0.000	0.7227	0.6828	1
3326	3737	503.310	0.000	0.7322	0.5031	1
3326	3810	241.080	0.000	0.7290	0.5244	1
3326	3840	-260.212	0.000	0.8651	0.6200	1
3326	3861	486.283	0.000	0.7547	0.5884	1
3326	3935	24.074	0.000	0.8208	0.6430	1
3326	3966	486.283	0.000	0.7285	0.4714	1
3326	3978	247.069	0.000	0.7088	0.4750	1
3326	4074	458.251	0.000	0.7052	0.5875	1
3326	4088	12.006	0.000	0.7512	0.4643	1
3326	4106	439.294	0.000	0.7577	0.5099	1
3326	4115	-60.020	0.000	0.7771	0.4751	1
3326	4350	467.289	0.000	0.7180	0.5175	1
3326	4389	52.105	0.000	0.7026	0.4664	1
3326	4406	538.351	0.000	0.7054	0.4631	1
3326	4430	487.314	0.000	0.7617	0.6773	1
3330	3759	-0.108	0.000	0.9397	0.6314	1
3330	4009	-0.107	0.000	0.8236	0.4729	1
3334	3372	-56.099	0.000	0.7073	0.5957	1
3334	3395	42.047	0.000	0.7090	0.6649	1
3334	3404	-67.068	0.000	0.7697	0.6684	1
3334	3527	-25.057	0.000	0.7690	0.7075	1
3334	3724	-42.083	0.000	0.7005	0.6007	1
3334	4258	-42.083	0.000	0.7076	0.6272	1
3334	4323	-56.088	0.000	0.7227	0.6627	1
3335	3343	102.105	0.000	0.7574	0.2841	1
3335	3351	-145.078	0.000	0.7023	0.3953	1
3335	3367	-39.901	0.000	0.7109	0.3074	1
3335	3441	-121.078	0.000	0.7073	0.2991	1
3335	3445	146.240	0.000	0.7596	0.2816	1
3335	3497	66.083	0.000	0.8633	0.4457	1
3335	3654	25.172	0.000	0.7440	0.2705	1
3335	3713	28.031	0.000	0.9361	0.5653	1
3335	3771	148.233	0.000	0.7824	0.2719	1
3335	3838	16.028	0.000	0.9268	0.6147	1
3335	3881	146.229	0.000	0.7596	0.2816	1
3335	3885	114.189	0.000	0.7768	0.5136	1
3335	3887	-50.000	0.000	0.7650	0.3863	1
3335	3908	124.198	0.000	0.8018	0.4048	1
3335	3986	-18.755	0.000	0.7972	0.2648	1
3335	4028	-6.973	0.000	0.7013	0.6476	1
3335	4050	-19.990	0.000	0.7894	0.4302	1
3335	4109	-28.031	0.000	0.9262	0.5409	1
3335	4113	22.057	0.000	0.7418	0.3886	1
3335	4168	146.231	0.000	0.7596	0.2816	1
3335	4214	146.251	0.000	0.7621	0.2908	1
3335	4215	23.201	0.000	0.8389	0.2746	1
3335	4335	146.240	0.000	0.7598	0.2816	1
3335	4348	42.047	0.000	0.9250	0.5617	1
3338	3480	-49.053	0.000	0.7443	0.5588	1
3338	3913	130.027	0.000	0.7247	0.6550	1
3341	3578	0.028	0.000	0.8738	0.6132	1
3341	3589	73.986	0.000	0.7047	0.4249	1
3341	3708	74.004	0.000	0.7047	0.4249	1
3341	3974	73.986	0.000	0.7048	0.4361	1
3341	4135	17.055	0.000	0.7984	0.5820	1
3341	4137	73.988	0.000	0.7047	0.4249	1
3341	4143	73.996	0.000	0.7047	0.4249	1
3343	3885	12.084	0.000	0.7223	0.2412	1
3344	3375	-304.168	0.000	0.7535	0.6792	1
3344	3410	28.031	0.000	0.7978	0.7821	1
3344	3430	-228.152	0.000	0.7363	0.6332	1
3344	3436	266.261	0.000	0.8347	0.6706	1
3344	3501	-258.196	0.000	0.7584	0.6848	1
3344	3513	-519.330	0.000	0.8651	0.6106	1
3344	3536	-511.269	0.000	0.7466	0.6553	1
3344	3587	-511.268	0.000	0.8758	0.6822	1
3344	3597	-523.361	0.000	0.9241	0.6897	1
3344	3603	-260.214	0.000	0.7622	0.6726	1
3344	3638	84.093	0.000	0.7454	0.5743	1
3344	3645	-260.212	0.000	0.7587	0.6963	1
3344	3704	266.261	0.000	0.8135	0.5972	1
3344	3729	-258.197	0.000	0.7447	0.6877	1
3344	3739	-179.204	0.000	0.7650	0.7477	1
3344	3781	-493.314	0.000	0.8389	0.6649	1
3344	3799	-236.213	0.000	0.7299	0.6565	1
3344	3815	-473.253	0.000	0.7034	0.5578	1
3344	3821	-467.297	0.000	0.7491	0.6842	1
3344	3889	-425.252	0.000	0.7144	0.5944	1
3344	3938	-177.188	0.000	0.7227	0.6301	1
3344	3949	-180.080	0.000	0.7669	0.6647	1
3344	4007	-302.153	0.000	0.7687	0.6848	1
3344	4008	14.022	0.000	0.8609	0.5968	1
3344	4070	-207.236	0.000	0.7565	0.7085	1
3344	4071	-262.229	0.000	0.7364	0.5882	1
3344	4110	-182.094	0.000	0.7499	0.6625	1
3344	4172	340.307	0.000	0.8786	0.6915	1
3344	4187	84.094	0.000	0.8709	0.6415	1
3344	4205	-234.199	0.000	0.7651	0.6963	1
3344	4213	-254.168	0.000	0.7678	0.6726	1
3344	4242	34.078	0.000	0.8811	0.6722	1
3344	4260	-179.204	0.000	0.7705	0.7118	1
3344	4319	-179.204	0.000	0.7641	0.6726	1
3344	4358	-259.201	0.000	0.7106	0.6460	1
3344	4371	-207.235	0.000	0.7653	0.7085	1
3344	4376	-258.197	0.000	0.7520	0.6726	1
3344	4435	266.261	0.000	0.8146	0.6136	1
3347	3966	28.032	0.000	0.7345	0.5260	1
3348	3592	14.015	0.000	0.8247	0.6029	1
3348	3987	-28.032	0.000	0.7890	0.4258	1
3351	3659	28.031	0.000	0.7114	0.5511	1
3351	3838	161.106	0.000	0.7193	0.4819	1
3351	4185	116.099	0.000	0.7162	0.5604	1
3352	3516	2.016	0.000	0.7378	0.5179	1
3352	3782	-15.995	0.000	0.7200	0.5155	1
3352	4174	2.016	0.000	0.8365	0.6908	1
3352	4314	28.031	0.000	0.8252	0.6837	1
3356	3669	-31.948	0.000	0.7039	0.5262	1
3357	3358	18.011	0.000	0.8151	0.6929	1
3357	3372	30.011	0.000	0.7176	0.5887	1
3357	3398	18.011	0.000	0.8140	0.7218	1
3357	3455	20.027	0.000	0.7383	0.6926	1
3357	3482	-18.010	0.000	0.7215	0.5378	1
3357	3527	61.053	0.000	0.7267	0.5700	1
3357	3550	-74.073	0.000	0.7195	0.6117	1
3357	3554	-444.314	0.000	0.7350	0.6915	1
3357	3598	0.000	0.000	0.8776	0.8311	1
3357	3724	44.027	0.000	0.7304	0.5623	1
3357	3758	0.000	0.000	0.8782	0.8059	1
3357	3861	20.026	0.000	0.7005	0.6658	1
3357	3871	18.011	0.000	0.8103	0.7552	1
3357	3980	-442.297	0.000	0.7662	0.6366	1
3357	4028	7.006	0.000	0.7170	0.5991	1
3357	4074	-8.005	0.000	0.7163	0.6842	1
3357	4258	44.027	0.000	0.7297	0.6335	1
3357	4289	18.023	0.000	0.8145	0.7537	1
3357	4323	30.022	0.000	0.7337	0.6168	1
3357	4325	18.011	0.000	0.8021	0.6832	1
3357	4390	2.016	0.000	0.7369	0.6723	1
3357	4396	-95.062	0.000	0.7389	0.6393	1
3357	4406	72.094	0.000	0.7076	0.6418	1
3357	4422	28.031	0.000	0.7924	0.6382	1
3358	3372	12.000	0.000	0.8953	0.8331	1
3358	3398	0.000	0.000	0.9584	0.8800	1
3358	3404	1.031	0.000	0.7602	0.6813	1
3358	3455	2.016	0.000	0.8851	0.7864	1
3358	3527	43.042	0.000	0.7514	0.5324	1
3358	3598	-18.010	0.000	0.7847	0.6683	1
3358	3639	1.031	0.000	0.7091	0.5114	1
3358	3705	3.047	0.000	0.7333	0.6589	1
3358	3724	26.016	0.000	0.7706	0.5122	1
3358	3758	-18.011	0.000	0.8263	0.6599	1
3358	3814	-13.979	0.000	0.7186	0.4885	1
3358	3861	2.015	0.000	0.8560	0.7352	1
3358	3870	-95.063	0.000	0.7224	0.4655	1
3358	3871	0.000	0.000	0.9371	0.8069	1
3358	3966	2.016	0.000	0.7614	0.4944	1
3358	3980	-460.307	0.000	0.7116	0.4993	1
