CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1109	1212	18.011	0.000	0.9138	0.8170	1
1109	1396	-28.031	0.000	0.7331	0.6496	1
1109	2179	-14.016	0.000	0.9001	0.7449	1
1109	3386	18.977	0.000	0.7457	0.6969	1
1109	3524	-14.016	0.000	0.8753	0.7098	1
1109	3956	-104.117	0.000	0.7239	0.6200	1
1109	3987	-130.026	0.000	0.9361	0.7650	1
1110	1140	-15.995	0.000	0.7039	0.6638	1
1110	1158	-56.026	0.000	0.8457	0.7780	1
1110	1170	-58.041	0.000	0.8017	0.6239	1
1110	1175	-15.995	0.000	0.7727	0.6941	1
1110	1192	96.094	0.000	0.7304	0.6847	1
1110	1198	-308.236	0.000	0.7308	0.6311	1
1110	1228	-1.032	0.000	0.7639	0.6101	1
1110	1266	18.011	0.000	0.7914	0.7095	1
1110	1286	-2.016	0.000	0.7745	0.7372	1
1110	1292	0.000	0.000	0.8170	0.7150	1
1110	1309	-336.266	0.000	0.7182	0.5791	1
1110	1313	27.000	0.000	0.7088	0.5648	1
1110	1352	53.015	0.000	0.7080	0.6533	1
1110	1415	-57.095	0.000	0.7124	0.5742	1
1110	1457	-2.016	0.000	0.7249	0.5869	1
1110	1481	-17.026	0.000	0.8564	0.7722	1
1110	1490	0.984	0.000	0.7991	0.7194	1
1110	1494	-17.026	0.000	0.7736	0.6861	1
1110	1531	2.016	0.000	0.8184	0.7562	1
1110	1560	-56.026	0.000	0.7811	0.5645	1
1110	1576	-15.995	0.000	0.7727	0.6509	1
1110	1577	0.000	0.000	0.8576	0.8156	1
1110	1632	-17.063	0.000	0.7179	0.6483	1
1110	1693	-58.041	0.000	0.7262	0.4451	1
1110	1705	-197.090	0.000	0.7831	0.6039	1
1110	1754	-73.089	0.000	0.7711	0.6989	1
1110	1842	-19.042	0.000	0.7555	0.6829	1
1110	1865	-75.105	0.000	0.7309	0.6983	1
1110	1886	53.052	0.000	0.7034	0.5514	1
1110	1925	27.000	0.000	0.7316	0.6300	1
1110	1943	15.995	0.000	0.8255	0.6638	1
1110	1951	-58.041	0.000	0.8375	0.7735	1
1110	1966	15.995	0.000	0.8217	0.6927	1
1110	2054	44.026	0.000	0.7985	0.6180	1
1110	2093	-1.031	0.000	0.7372	0.6712	1
1110	2123	-1.032	0.000	0.7891	0.7383	1
1110	2170	0.984	0.000	0.8229	0.7231	1
1110	2173	0.000	0.000	0.8065	0.7202	1
1110	2192	-74.037	0.000	0.7812	0.5700	1
1110	2197	-73.089	0.000	0.7113	0.6015	1
1110	2212	-74.036	0.000	0.7876	0.6046	1
1110	2232	-85.089	0.000	0.7363	0.7103	1
1110	2237	-74.037	0.000	0.7581	0.6215	1
1110	2266	27.000	0.000	0.7227	0.5495	1
1110	2306	72.094	0.000	0.7796	0.7560	1
1110	2308	15.995	0.000	0.8478	0.7284	1
1110	2323	0.000	0.000	0.7022	0.4563	1
1110	2335	-29.063	0.000	0.7588	0.7066	1
1110	2336	2.016	0.000	0.8319	0.7836	1
1110	2373	-262.228	0.000	0.7278	0.6012	1
1110	2395	27.995	0.000	0.7437	0.5198	1
1110	2406	0.996	0.000	0.8259	0.6895	1
1110	2424	31.989	0.000	0.7304	0.5603	1
1110	2427	2.016	0.000	0.8304	0.7731	1
1110	2447	-2.005	0.000	0.7202	0.6201	1
1110	2478	46.006	0.000	0.7245	0.5455	1
1110	2498	-2.016	0.000	0.7670	0.6395	1
1110	2530	15.995	0.000	0.8254	0.6278	1
1110	2534	27.995	0.000	0.7097	0.5290	1
1110	2633	0.984	0.000	0.8122	0.6727	1
1110	2640	-17.026	0.000	0.8098	0.7054	1
1110	2649	0.996	0.000	0.8197	0.7218	1
1110	2665	-27.047	0.000	0.7690	0.6922	1
1110	2677	-57.095	0.000	0.7066	0.5735	1
1110	2690	100.089	0.000	0.7641	0.5789	1
1110	2724	-1.007	0.000	0.7905	0.6058	1
1110	2791	0.984	0.000	0.8219	0.6534	1
1110	2816	-76.051	0.000	0.7666	0.6597	1
1110	2836	15.995	0.000	0.8370	0.6801	1
1110	2860	-18.010	0.000	0.8212	0.7954	1
1110	2880	-1.031	0.000	0.7731	0.5908	1
1110	2902	-180.064	0.000	0.7415	0.5668	1
1110	3007	0.984	0.000	0.7486	0.5643	1
1110	3016	18.011	0.000	0.7887	0.7418	1
1110	3061	12.984	0.000	0.7526	0.6666	1
1110	3114	-27.047	0.000	0.7690	0.6922	1
1110	3116	2.015	0.000	0.7888	0.6383	1
1110	3120	-1.020	0.000	0.7678	0.6341	1
1110	3169	0.000	0.000	0.7775	0.6655	1
1110	3192	-56.026	0.000	0.7523	0.4973	1
1110	3210	34.006	0.000	0.7393	0.5717	1
1110	3293	60.058	0.000	0.7245	0.5796	1
1110	3314	0.984	0.000	0.8229	0.7231	1
1110	3326	-485.299	0.000	0.7003	0.5646	1
1110	3357	-19.042	0.000	0.7083	0.6818	1
1110	3358	-1.031	0.000	0.7675	0.6295	1
1110	3398	-1.031	0.000	0.7804	0.6607	1
1110	3404	0.000	0.000	0.8121	0.8002	1
1110	3447	-27.995	0.000	0.7333	0.4702	1
1110	3454	-91.974	0.000	0.7046	0.6680	1
1110	3455	0.984	0.000	0.8045	0.7243	1
1110	3511	18.011	0.000	0.7469	0.5904	1
1110	3527	42.010	0.000	0.7454	0.6257	1
1110	3552	-487.314	0.000	0.7102	0.6351	1
1110	3611	2.016	0.000	0.8195	0.7488	1
1110	3639	-0.000	0.000	0.8103	0.6694	1
1110	3705	2.016	0.000	0.8216	0.7167	1
1110	3728	-435.321	0.000	0.8001	0.6606	1
1110	3737	18.010	0.000	0.7446	0.6160	1
1110	3758	-19.042	0.000	0.7365	0.7010	1
1110	3798	-463.355	0.000	0.7310	0.6029	1
1110	3852	-15.995	0.000	0.7285	0.5698	1
1110	3859	-461.338	0.000	0.8539	0.7759	1
1110	3861	0.984	0.000	0.7862	0.7064	1
1110	3870	-96.094	0.000	0.7831	0.5799	1
1110	3871	-1.031	0.000	0.7663	0.6751	1
1110	3933	2.016	0.000	0.7697	0.5745	1
1110	3966	0.984	0.000	0.7639	0.5877	1
1110	3978	-238.230	0.000	0.7296	0.6041	1
1110	4028	-12.036	0.000	0.8597	0.6617	1
1110	4074	-27.048	0.000	0.7279	0.6593	1
1110	4106	-46.005	0.000	0.7106	0.6129	1
1110	4189	27.995	0.000	0.7759	0.6035	1
1110	4289	-1.020	0.000	0.7652	0.6940	1
1110	4325	-1.032	0.000	0.7600	0.6262	1
1110	4350	-18.010	0.000	0.7756	0.6812	1
1110	4390	-17.026	0.000	0.7409	0.7028	1
1110	4396	-114.104	0.000	0.7578	0.6076	1
1110	4406	53.052	0.000	0.7491	0.6476	1
1110	4410	-223.266	0.000	0.7062	0.5414	1
1110	4430	2.015	0.000	0.8248	0.7387	1
1114	1168	31.042	0.000	0.8173	0.5955	1
1114	1805	-80.905	0.000	0.7490	0.4775	1
1114	2271	31.042	0.000	0.8315	0.6655	1
1114	2779	-0.984	0.000	0.8949	0.6249	1
1114	2803	31.042	0.000	0.7895	0.5381	1
1114	3087	-202.049	0.000	0.9026	0.6817	1
1114	3972	31.042	0.000	0.8306	0.6550	1
1114	4017	-71.008	0.000	0.9036	0.7012	1
1114	4349	14.015	0.000	0.7438	0.4529	1
1115	3945	0.157	0.000	0.8865	0.6591	1
1116	2142	87.068	0.000	0.7147	0.7258	1
1116	2250	45.058	0.000	0.8796	0.7467	1
1116	2916	61.053	0.000	0.7582	0.6674	1
1118	1634	0.064	0.000	0.7351	0.6644	1
1118	1665	0.084	0.000	0.7350	0.6620	1
1118	1695	0.000	0.000	0.8430	0.6376	1
1118	1770	0.084	0.000	0.7404	0.7268	1
1118	1830	0.000	0.000	0.7148	0.5270	1
1118	1933	1.082	0.000	0.7268	0.6188	1
1118	2264	14.088	0.000	0.7665	0.6569	1
1118	2525	1.068	0.000	0.7006	0.5651	1
1118	2881	0.064	0.000	0.7404	0.7268	1
1118	2970	0.073	0.000	0.7182	0.5095	1
1118	3028	0.084	0.000	0.7351	0.6644	1
1118	3079	14.088	0.000	0.7665	0.6569	1
1118	3108	0.081	0.000	0.7302	0.6712	1
1118	3132	0.062	0.000	0.7325	0.6793	1
1118	3140	0.084	0.000	0.7302	0.6712	1
1118	3274	0.073	0.000	0.7302	0.6712	1
1118	3445	0.073	0.000	0.7302	0.6712	1
1118	3881	0.062	0.000	0.7302	0.6712	1
1118	4168	0.064	0.000	0.7302	0.6712	1
1118	4214	0.084	0.000	0.7274	0.6694	1
1118	4335	0.073	0.000	0.7228	0.6576	1
1119	1257	18.010	0.000	0.7343	0.4969	1
1119	1292	-78.084	0.000	0.7025	0.4082	1
1119	2415	-130.026	0.000	0.7292	0.5212	1
1119	2531	18.010	0.000	0.7046	0.4658	1
1119	3819	-230.042	0.000	0.7015	0.3800	1
1120	2085	4.951	0.000	0.7355	0.4453	1
1120	2827	60.014	0.000	0.7288	0.4447	1
1120	2852	-0.000	0.000	0.8699	0.6368	1
1120	2924	-18.090	0.000	0.7412	0.4289	1
1120	3634	-30.058	0.000	0.7436	0.4698	1
1120	3986	88.043	0.000	0.7142	0.4528	1
1125	1734	74.019	0.000	0.7081	0.3025	1
1125	2036	54.050	0.000	0.7291	0.3501	1
1125	2573	22.060	0.000	0.7266	0.3780	1
1125	2971	194.097	0.000	0.7093	0.3232	1
1125	3130	62.020	0.000	0.7090	0.3514	1
1125	4140	21.988	0.000	0.7317	0.3583	1
1126	1274	-332.257	0.000	0.7564	0.6566	1
1126	1335	-0.000	0.000	0.9552	0.7797	1
1126	1346	14.015	0.000	0.8294	0.5925	1
1126	1433	-318.240	0.000	0.7412	0.6608	1
1126	2326	-318.240	0.000	0.7412	0.6608	1
1126	2698	-0.000	0.000	0.9045	0.6073	1
1126	2824	2.016	0.000	0.7229	0.7597	1
1126	3386	-15.995	0.000	0.7014	0.5791	1
1126	4052	-236.126	0.000	0.7678	0.4029	1
1126	4277	-26.016	0.000	0.8001	0.7536	1
1127	1169	-50.961	0.000	0.9534	0.7285	1
1127	1310	189.283	0.000	0.9562	0.7030	1
1127	1329	249.283	0.000	0.9247	0.6311	1
1127	1356	28.032	0.000	0.9563	0.7341	1
1127	1374	251.298	0.000	0.7591	0.6912	1
1127	1395	1.138	0.000	0.9488	0.7439	1
1127	1416	-24.947	0.000	0.9590	0.7314	1
1127	1428	-18.900	0.000	0.9548	0.7439	1
1127	1480	263.298	0.000	0.9521	0.7686	1
1127	1522	547.533	0.000	0.9287	0.7608	1
1127	1525	249.283	0.000	0.7149	0.5950	1
1127	1663	-266.017	0.000	0.8175	0.5729	1
1127	1697	237.282	0.000	0.9505	0.7159	1
1127	1758	62.108	0.000	0.9384	0.6998	1
1127	1785	-52.976	0.000	0.9539	0.6960	1
1127	1801	0.000	0.000	0.9635	0.7608	1
1127	1841	-0.946	0.000	0.9346	0.6858	1
1127	1858	189.283	0.000	0.7574	0.6445	1
1127	1921	-26.963	0.000	0.9694	0.7439	1
1127	1926	195.271	0.000	0.7984	0.4900	1
1127	1941	-46.932	0.000	0.9651	0.7439	1
1127	1950	-50.962	0.000	0.9574	0.6997	1
1127	1964	-24.948	0.000	0.9580	0.7608	1
1127	2050	547.534	0.000	0.9196	0.7439	1
1127	2058	-18.901	0.000	0.9548	0.7439	1
1127	2081	-48.947	0.000	0.9573	0.7439	1
1127	2087	241.313	0.000	0.9356	0.6320	1
1127	2117	183.236	0.000	0.9014	0.5890	1
1127	2149	223.268	0.000	0.9257	0.6590	1
1127	2206	-48.947	0.000	0.9575	0.7439	1
