cluster index	parent mass	RTMean
1	280.1902084350586	4.0246925000000005
2	577.4832458496094	11.9817665
3	491.3523284912109	9.84143826
4	238.1070840043771	2.1228222142857143
5	637.3040059438476	10.406573666666668
6	496.202751159668	2.4808028
7	291.1914123535156	1.55942896
8	311.2213577273804	5.386045060000001
9	328.2480712912109	6.28436079
10	843.48515625	8.53200118
11	589.4095916748047	10.29332425
12	829.505259205485	9.200701666666667
13	583.415047785226	9.441455742857144
14	370.2427124033691	3.12617102
15	308.29481506515066	9.516494842857142
16	275.1517639160156	3.89025915
17	295.226987461322	11.9222443
18	290.1966880920105	3.89308816
19	264.12274169921875	2.45258365
20	334.1278940836589	2.2714291
21	598.3071899414062	4.1405512
22	491.2098007202149	3.6482555
23	775.3861846923828	7.05734215
24	416.33699035823565	7.777438366666666
25	699.1888275146484	2.90894455
26	899.4943542480469	9.2020853
27	147.0439577102661	2.23568355
28	292.1997426359049	2.9424577333333333
29	299.20058188083226	10.09694611111111
30	244.15436281498063	4.364305242857143
31	652.4769439697266	10.288307
32	400.2126414066569	3.4742927
33	896.5198974609375	8.5500354
34	368.2280426025391	2.20457345
35	159.14916483561197	0.5229755333333334
36	361.2363611872152	5.668391933333333
37	326.26933288762206	7.66869441
38	567.4198608398438	10.104088
39	738.4911804199219	8.8522001
40	518.3240814208984	7.020231470000001
41	556.4564819335938	10.61631
42	492.3899398803711	9.28724593
43	375.19193267822266	6.2463788000000005
44	414.3214874267578	4.22440165
45	252.19191932678223	4.042547975
46	444.40437126356505	11.436357999999998
47	518.3829803547974	7.8608408
48	398.3057708740234	8.600545499999999
49	596.4890441894531	10.279848
50	256.13597615559894	5.010337033333333
51	312.2533620214437	5.5020028
52	329.31603568165804	7.270636814285715
53	378.1699676513672	5.1005937
54	265.1510147175904	3.4406078
55	305.1566401890346	2.292145728571429
56	442.2654342651367	4.16920355
57	534.3419418361207	4.8545078
58	184.07282638549805	7.33341515
59	775.38671875	6.93082845
60	367.1958160400391	2.42530525
61	184.1332441062448	1.1337526457142857
62	446.25891876220703	2.24775955
63	492.2433471679688	4.1621249
64	554.4396362304688	10.797432
65	290.2112503051758	4.9899964
66	489.29686584472654	8.21027128
67	165.05450821047975	1.93086274
68	625.4472045898438	8.9134455
69	349.272476197876	9.4477949
70	201.13153584798172	1.578373383333333
71	364.24684398002114	4.211964883333333
72	579.1499176025391	3.0620177
73	583.4140625005929	10.087835142857145
74	230.12087631225583	2.26804595
75	268.22711181807455	5.033965066666667
76	214.1074075712128	1.4474437
77	486.3277359008789	4.995332
78	291.1914093017578	1.40572748
79	255.9417175353272	1.2978737800000002
80	716.3701171875	5.3749815000000005
81	277.2162185699341	7.71313579
82	727.350646985026	5.233781033333333
83	311.0525182088216	2.5908034333333334
84	718.4733174699708	9.6692077
85	453.3583908140259	8.703483149999999
86	472.2749481201172	2.886073000000001
87	258.1102040648329	0.6150180966666667
88	597.4472859834798	11.183398333333336
89	720.490966796875	9.30847
90	683.283437093099	10.096087666666667
91	617.4402923583984	10.831318
92	449.23573303222656	3.32380445
93	468.18592834472656	3.15413265
94	229.1434059183349	3.7208807
95	278.24755605061847	8.3850985
96	308.22248586283365	5.021597016666667
97	363.141716003418	3.1189642
98	574.3414802601013	4.227806725000001
99	162.07440795898438	0.864245657
100	414.2327829996745	3.3411811
101	311.221610260846	7.28976843
102	377.23280334472656	3.4122852
103	433.2039489746094	3.5109961
104	463.121826171875	4.474277
105	328.2845123291016	8.36265981
106	293.06520080566406	4.7996873
107	542.2848917643229	3.1013715666666664
108	631.4905700683594	11.7856035
109	395.1315307617188	1.75956605
110	600.4173278808594	9.22747755
111	488.26966094970703	3.13046305
112	176.0110305786133	0.5912481090000001
113	203.22311096297608	1.33257964
114	260.11271540381875	0.7184457700000001
115	361.1757354736328	2.12742925
116	370.16512298583984	5.6222923
117	661.2628682454427	10.025576333333332
118	363.2037658691406	3.4287289
119	503.20252990722656	3.63128695
120	217.12234497603933	0.7233395842857142
121	351.2143127465332	5.434486649999999
122	621.3106613274535	10.556441624999998
123	607.4935455322266	11.894113833333334
124	321.24230575561523	8.77948385
125	258.1701173784561	4.37392645
126	620.5274505788574	11.1889555
127	220.0733001713379	1.7048207799999997
128	315.1701965332031	2.92489055
129	1155.275146484375	2.7119523
130	296.12554931640625	2.36519635
131	198.1490020751953	2.514622775
132	608.5253651936849	11.655192666666666
133	611.1596012124176	2.735106525
134	342.26373291015625	6.29173553
135	187.09635035380043	2.8359587666666664
136	512.4321899414062	9.8557762
137	693.3086242675781	5.6119725
138	268.22682189941406	4.729150349999999
139	223.16901779738768	9.206971630000002
140	398.3270492553711	7.37403265
141	795.452880859375	6.9533086
142	303.1912612915039	0.839588635
143	344.1336944608764	2.37457224
144	813.5493672688802	11.864617
145	247.17629750657147	0.6572928033333333
146	566.3834075927734	7.8134111
147	264.1954040527344	4.617667750000001
148	412.2179870605469	2.440633725
149	593.4775848388672	10.790046
150	758.5671997086356	8.164955885714287
151	365.1700693766276	1.8663534
152	954.336685180664	4.133948999999999
153	769.4888671896484	10.6481454
154	308.1969451904297	1.446469125
155	233.16455078125	3.175498566666666
156	286.1432189941406	3.4041342500000003
157	761.4046936228027	7.27342095
158	544.4590911865234	10.3247325
159	356.20689646403	4.188670883333333
160	328.284489440918	8.269778389999999
161	351.10462697347003	1.468911283333333
162	487.7908706665039	3.4726316500000003
163	574.3061065673828	4.1654073
164	446.2165323893229	4.646467566666666
165	455.0943222045898	4.7996873
166	428.2487106323242	3.5147627
167	423.95497741699216	0.49960313
168	340.1238776337348	0.69301702
169	257.1286697387696	4.883030150000001
170	532.2602386474609	2.85894105
171	893.2975463867188	3.9746492
172	477.1385726928711	4.83976325
173	509.271858215332	6.732397450000001
174	355.2464853948568	8.377856066666666
175	361.1778259277344	1.7972064
176	395.2769088745117	8.215346799999999
177	160.18084640502929	1.48228342
178	290.1717580159505	2.7264796333333337
179	377.2309341430664	6.63934585
180	165.06839752197266	1.7168131
181	328.1389465332031	2.05214955
182	403.236083984375	1.5351781
183	587.4675521850586	10.9894995
184	216.13103866577148	2.85584315
185	514.2856750488281	4.827636099999999
186	327.2318435668945	7.32920251
187	694.5618896484375	11.001822
188	348.23753356933594	5.78316515
189	769.4865036066894	11.085972750000002
190	426.2329384952568	3.158259685714285
191	496.19508361816406	4.3870215
192	518.3241088867187	6.8689712400000005
193	433.1130040494384	3.465960783333333
