CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
941	1232	6	0.9047	0.000
21	53	6	0.9041	-2.015
53	78	6	0.8634	181.094
53	150	6	0.8737	28.031
53	210	6	0.883	26.015
53	1010	6	0.9002	30.048
53	2137	6	0.901	2.015
3363	3475	6	0.8599	2.015
743	3475	6	0.8191	142.099
21	101	6	0.8815	179.079
78	101	6	0.9186	-0.000
101	192	6	0.8506	28.030
101	245	6	0.8575	-2.015
101	2137	6	0.8626	-179.079
192	245	6	0.8453	-30.044
105	257	6	0.9228	-0.000
205	257	6	0.9254	-0.000
257	520	6	0.9251	0.000
257	1930	6	1.0	0.000
257	2746	6	1.0	0.000
1495	3915	6	0.9187	-0.000
2094	3915	6	0.9316	179.083
2136	3915	6	0.9027	193.098
205	3915	6	0.902	-75.021
428	3915	6	0.9111	341.132
520	3915	6	0.9052	-75.021
585	3915	6	0.9366	-0.000
941	3915	6	0.9353	-0.000
961	3915	6	1.0	-0.000
1930	2746	6	1.0	0.000
105	2746	6	0.9228	-0.000
205	2746	6	0.9254	-0.000
520	2746	6	0.9251	0.000
105	1930	6	0.9228	-0.000
205	1930	6	0.9254	-0.000
520	1930	6	0.9251	0.000
21	69	6	0.9097	-162.053
45	69	6	0.8762	-28.031
69	372	6	0.8946	-2.014
69	428	6	0.8743	260.214
69	449	6	0.8761	26.015
69	2137	6	0.9086	162.053
69	4024	6	0.8946	-2.014
69	4037	6	0.9215	0.000
69	4057	6	0.8985	28.027
140	543	6	0.8575	-7.969
372	543	6	0.8964	16.029
449	543	6	0.8869	-12.000
484	543	6	0.8588	42.046
543	4024	6	0.8964	-16.030
543	4037	6	0.894	-14.015
543	4057	6	0.8745	14.011
192	533	6	0.8325	-2.014
192	734	6	0.8185	-14.014
1495	2094	6	0.9235	-179.083
205	1495	6	0.9011	-75.021
236	1495	6	0.9074	179.079
520	1495	6	0.9008	-75.021
585	1495	6	0.9368	-0.000
941	1495	6	0.9485	0.000
961	1495	6	0.9187	0.000
45	484	6	0.8926	-56.061
372	484	6	0.8973	-26.017
449	484	6	0.8923	-54.046
484	617	6	0.836	52.031
484	4024	6	0.8973	26.016
484	4057	6	0.9116	56.058
484	4108	6	0.8336	50.015
206	227	6	0.8651	-0.000
206	658	6	0.8008	21.984
206	743	6	0.888	0.000
206	1458	6	0.8763	0.000
206	2268	6	0.814	-29.063
206	2721	6	0.8515	0.000
206	3409	6	0.8515	-0.000
206	4314	6	0.8173	-32.050
1247	2173	6	1.0	0.000
2136	2173	6	0.8673	0.003
45	1010	6	0.8754	162.055
45	4037	6	0.8644	-28.031
45	4057	6	0.9338	-0.004
236	585	6	0.9216	179.079
236	941	6	0.922	179.079
236	1357	6	0.8904	179.079
236	2094	6	0.9112	-0.004
236	2136	6	0.8792	-14.019
236	2300	6	0.8813	-145.027
743	2268	6	0.8212	-29.063
4024	4108	6	0.9032	23.999
140	4108	6	0.9569	0.000
372	4108	6	0.9032	23.998
617	4108	6	0.8804	-2.016
21	78	6	0.9179	179.079
21	150	6	0.9035	26.016
21	1010	6	0.9131	28.033
21	2137	6	0.9605	0.000
21	4037	6	0.8923	-162.052
21	4057	6	0.8757	-134.026
205	941	6	0.9043	-75.021
585	941	6	0.9506	-0.000
941	961	6	0.9353	0.000
941	2094	6	0.9364	-179.083
941	2136	6	0.9073	-193.098
1357	2094	6	0.8798	-179.083
105	205	6	0.9326	-0.000
105	520	6	0.9069	-0.000
150	210	6	0.8678	-2.016
210	617	6	0.8645	-162.052
210	1010	6	0.8368	4.033
210	1497	6	0.8291	2.024
3316	3363	6	0.8641	28.031
140	372	6	0.896	-23.998
140	449	6	0.8702	4.031
140	617	6	0.8855	2.016
140	4024	6	0.896	-23.999
428	1083	6	0.9542	0.000
1083	2094	6	0.8801	162.049
1083	2300	6	0.8699	17.026
428	2094	6	0.8812	162.049
585	2094	6	0.9307	-179.083
961	2094	6	0.9316	-179.083
1247	2136	6	0.8673	-0.003
2136	2300	6	0.876	-131.008
205	520	6	0.929	-0.000
205	585	6	0.8961	-75.021
205	961	6	0.902	-75.021
428	961	6	0.9111	341.132
520	961	6	0.9052	-75.021
585	961	6	0.9366	-0.000
961	2136	6	0.9027	-193.098
2137	4037	6	0.8732	-162.053
78	2137	6	0.9092	-179.079
150	2137	6	0.8921	-26.016
1010	2137	6	0.8917	-28.032
2721	3409	6	1.0	-0.000
1458	2721	6	0.8155	-0.000
227	2721	6	0.8323	0.000
743	2721	6	0.8743	0.000
372	449	6	0.9156	28.029
372	617	6	0.8844	26.014
372	4024	6	1.0	-0.001
227	734	6	0.8138	-264.209
227	743	6	0.8613	0.000
227	1458	6	0.854	0.000
227	1748	6	0.8128	-471.282
227	3409	6	0.8323	0.000
150	1010	6	0.9051	2.016
1751	4314	6	0.8084	-32.050
533	734	6	0.8012	-12.000
449	617	6	0.8706	-2.015
449	4024	6	0.9156	-28.030
449	4037	6	0.8939	-26.015
585	2136	6	0.8956	-193.098
658	743	6	0.8352	-21.984
1010	4057	6	0.8985	-162.058
743	968	6	0.8187	28.031
743	1458	6	0.8394	0.000
743	1751	6	0.8248	0.000
743	3409	6	0.8743	-0.000
1458	3409	6	0.8155	-0.000
78	4037	6	0.8731	-341.132
617	4024	6	0.8844	-26.015
3180	3258	8	0.9273	17.026
3258	3321	8	0.7563	176.032
758	3939	9	1.0	0.000
628	4029	10	1.0	-0.001
36	810	12	0.9433	-45.058
95	810	12	0.9467	0.000
247	810	12	0.9356	-45.058
810	996	12	0.9352	45.147
810	1135	12	0.9405	45.146
810	1440	12	0.9405	45.146
810	2766	12	0.9328	45.058
