CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2223	3572	31.990	0.000	0.8425	0.5598	1
2223	3576	-144.041	0.000	0.8182	0.5909	1
2223	3584	190.027	0.000	0.8446	0.4752	1
2223	3602	-218.041	0.000	0.7335	0.4254	1
2223	3606	-144.041	0.000	0.8171	0.5882	1
2223	3620	-320.074	0.000	0.7037	0.4985	1
2223	3656	-190.011	0.000	0.7758	0.4763	1
2223	3689	-176.032	0.000	0.7943	0.5245	1
2223	3807	15.995	0.000	0.7668	0.4563	1
2223	3821	162.053	0.000	0.7956	0.3807	1
2223	3823	0.001	0.000	0.8423	0.5017	1
2223	3963	190.027	0.000	0.8446	0.4752	1
2224	2229	-0.000	0.000	0.9627	0.8056	1
2224	2244	230.042	0.000	0.8623	0.5721	1
2224	2272	-111.090	0.000	0.7841	0.5550	1
2224	2287	94.989	0.000	0.8392	0.3770	1
2224	2378	67.989	0.000	0.7665	0.5512	1
2224	2399	-18.011	0.000	0.7268	0.5187	1
2224	2659	-153.990	0.000	0.7445	0.5045	1
2224	2664	-26.031	0.000	0.8740	0.5421	1
2224	2711	-35.038	0.000	0.7587	0.5456	1
2224	2727	230.042	0.000	0.8535	0.4276	1
2224	2741	51.995	0.000	0.8585	0.4724	1
2224	2800	34.968	0.000	0.8495	0.4738	1
2224	2823	-125.084	0.000	0.7334	0.4976	1
2224	2830	70.005	0.000	0.8602	0.4332	1
2224	3029	70.005	0.000	0.8909	0.5850	1
2224	3092	70.005	0.000	0.8602	0.4332	1
2224	3128	24.984	0.000	0.8574	0.4134	1
2224	3176	-69.094	0.000	0.8375	0.5353	1
2224	3193	230.042	0.000	0.8535	0.4276	1
2224	3202	-69.095	0.000	0.8462	0.4108	1
2224	3234	-52.067	0.000	0.8421	0.5013	1
2224	3256	42.011	0.000	0.8402	0.4747	1
2224	3542	70.006	0.000	0.8909	0.5850	1
2224	3560	-92.026	0.000	0.8113	0.6327	1
2224	3574	20.005	0.000	0.8860	0.6540	1
2224	3586	-31.990	0.000	0.8489	0.5478	1
2224	3738	20.005	0.000	0.8809	0.6022	1
2224	3750	-140.011	0.000	0.8081	0.5075	1
2224	3762	-156.006	0.000	0.8192	0.5336	1
2224	3806	34.968	0.000	0.8495	0.4738	1
2224	4096	-111.090	0.000	0.7299	0.4184	1
2224	4106	-95.074	0.000	0.8440	0.4102	1
2225	2930	0.000	0.000	1.0000	1.0000	1
2229	2244	230.043	0.000	0.8722	0.6190	1
