CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
8	633	162.053	0.000	0.8588	0.4033	1
8	930	162.053	0.000	0.8301	0.3745	1
8	947	105.933	0.000	0.7376	0.4565	1
8	1021	-162.053	0.000	0.9311	0.7179	1
8	1119	-146.059	0.000	0.7242	0.4970	1
8	1196	-86.000	0.000	0.9100	0.7177	1
8	1325	156.006	0.000	0.7802	0.5462	1
8	1340	-0.000	0.000	0.9490	0.8109	1
8	1341	-0.000	0.000	0.9405	0.7082	1
8	1398	156.006	0.000	0.7322	0.4756	1
8	1496	105.933	0.000	0.7200	0.4766	1
8	1521	156.006	0.000	0.8119	0.6148	1
8	1534	15.995	0.000	0.7585	0.4412	1
8	1570	162.053	0.000	0.8689	0.5060	1
8	1630	-42.010	0.000	0.8674	0.6706	1
8	1642	125.996	0.000	0.7874	0.3786	1
8	1704	15.995	0.000	0.9312	0.6758	1
8	1746	156.006	0.000	0.7969	0.3932	1
8	1778	-146.059	0.000	0.7227	0.4375	1
8	1804	124.016	0.000	0.8421	0.4302	1
8	1808	69.969	0.000	0.7113	0.4904	1
8	1949	-162.053	0.000	0.9415	0.7701	1
8	2077	-132.042	0.000	0.9146	0.6974	1
8	2080	162.053	0.000	0.8528	0.5429	1
8	2081	-13.979	0.000	0.9241	0.7289	1
8	2090	-264.085	0.000	0.8573	0.5526	1
8	2099	-146.058	0.000	0.8749	0.6241	1
8	2100	162.053	0.000	0.8692	0.4507	1
8	2146	-132.042	0.000	0.8021	0.5251	1
8	2169	15.995	0.000	0.8446	0.6415	1
8	2174	-294.095	0.000	0.9000	0.7422	1
8	2188	-102.031	0.000	0.7759	0.5815	1
8	2206	0.000	0.000	0.8805	0.4886	1
8	2223	-14.016	0.000	0.8859	0.6252	1
8	2261	-392.255	0.000	0.7407	0.4159	1
8	2277	-146.058	0.000	0.8749	0.6241	1
8	2304	-14.014	0.000	0.8464	0.7069	1
8	2379	-176.032	0.000	0.8751	0.5269	1
8	2420	-0.033	0.000	0.9587	0.7838	1
8	2454	-308.110	0.000	0.8059	0.5205	1
8	2531	176.035	0.000	0.7139	0.4398	1
8	2685	15.996	0.000	0.8092	0.5173	1
8	2688	124.016	0.000	0.8692	0.4187	1
8	2699	-42.010	0.000	0.8674	0.6706	1
8	2731	15.998	0.000	0.8358	0.5342	1
8	2945	-248.052	0.000	0.7095	0.4074	1
8	3008	15.995	0.000	0.8092	0.5173	1
8	3011	-0.000	0.000	0.8189	0.4521	1
8	3068	13.980	0.000	0.7488	0.4518	1
8	3073	13.979	0.000	0.7488	0.4518	1
8	3119	-146.022	0.000	0.8738	0.5222	1
8	3149	-13.979	0.000	0.9264	0.7459	1
8	3191	80.864	0.000	0.7894	0.6144	1
8	3213	125.996	0.000	0.7304	0.5537	1
8	3238	108.896	0.000	0.7085	0.6107	1
8	3512	0.000	0.000	0.8748	0.5372	1
8	3569	162.053	0.000	0.8301	0.3745	1
8	3572	17.975	0.000	0.9239	0.6675	1
8	3573	-276.084	0.000	0.8527	0.6010	1
8	3584	176.011	0.000	0.9344	0.6110	1
8	3598	-144.042	0.000	0.8844	0.6968	1
8	3631	-278.100	0.000	0.8196	0.5405	1
8	3650	30.011	0.000	0.8679	0.6745	1
8	3661	-218.043	0.000	0.8415	0.5739	1
8	3741	-176.032	0.000	0.8751	0.5269	1
8	3762	-86.000	0.000	0.9133	0.6869	1
8	3768	-162.053	0.000	0.9311	0.7179	1
8	3823	-14.014	0.000	0.8426	0.4454	1
8	3829	-308.111	0.000	0.8059	0.5205	1
8	3963	176.011	0.000	0.9344	0.6110	1
8	3966	206.022	0.000	0.8932	0.4951	1
9	13	-132.044	0.000	0.8831	0.5657	1
9	19	46.785	0.000	0.7749	0.3752	1
9	22	-46.042	0.000	0.8467	0.4254	1
9	23	-0.002	0.000	0.9837	0.8660	1
9	39	-308.113	0.000	0.7531	0.4203	1
9	43	18.754	0.000	0.7866	0.3434	1
9	56	-62.057	0.000	0.7528	0.3307	1
9	66	15.993	0.000	0.9751	0.8062	1
9	76	51.987	0.000	0.7049	0.6328	1
9	81	-84.085	0.000	0.7190	0.3812	1
9	91	-248.055	0.000	0.8147	0.5460	1
9	111	166.986	0.000	0.8875	0.4444	1
9	119	-106.135	0.000	0.9122	0.3957	1
9	138	164.993	0.000	0.8612	0.4886	1
9	149	15.994	0.000	0.9765	0.8154	1
9	151	133.999	0.000	0.8149	0.5676	1
9	153	2.014	0.000	0.7468	0.5668	1
9	203	-306.096	0.000	0.7381	0.5035	1
9	222	-106.135	0.000	0.8880	0.3487	1
9	259	2.014	0.000	0.7100	0.4178	1
9	351	79.915	0.000	0.7525	0.5706	1
9	450	133.999	0.000	0.7891	0.5214	1
9	486	176.009	0.000	0.7499	0.3866	1
9	499	-74.036	0.000	0.8626	0.3729	1
9	503	182.967	0.000	0.7119	0.4107	1
9	623	-108.151	0.000	0.9032	0.3900	1
9	633	-0.001	0.000	0.9400	0.5505	1
9	671	-58.041	0.000	0.8018	0.4026	1
9	728	55.988	0.000	0.8572	0.4699	1
9	739	121.926	0.000	0.7701	0.5616	1
9	740	133.999	0.000	0.7874	0.4246	1
9	771	37.868	0.000	0.7107	0.4270	1
9	806	150.030	0.000	0.8381	0.3765	1
9	896	-73.270	0.000	0.8329	0.3592	1
9	909	142.951	0.000	0.8171	0.4064	1
9	920	-138.198	0.000	0.8011	0.3692	1
9	930	-0.002	0.000	0.9010	0.4747	1
9	1021	-324.107	0.000	0.8094	0.4841	1
9	1046	77.900	0.000	0.8405	0.3556	1
9	1080	60.948	0.000	0.8247	0.4177	1
9	1094	-15.997	0.000	0.7898	0.5472	1
9	1162	164.009	0.000	0.8270	0.4848	1
9	1196	-248.055	0.000	0.8042	0.5347	1
9	1257	81.895	0.000	0.7452	0.5347	1
9	1265	-8.005	0.000	0.7714	0.3818	1
9	1292	-73.211	0.000	0.8067	0.3837	1
9	1340	-162.055	0.000	0.8630	0.5603	1
9	1341	-162.055	0.000	0.8897	0.6063	1
9	1361	-46.042	0.000	0.8969	0.3634	1
9	1459	-74.036	0.000	0.7696	0.3865	1
9	1510	77.900	0.000	0.8744	0.3880	1
9	1513	-46.041	0.000	0.8969	0.3634	1
9	1570	-0.001	0.000	0.9777	0.7457	1
9	1576	15.994	0.000	0.9710	0.8157	1
9	1592	-72.020	0.000	0.8281	0.4518	1
9	1597	-74.036	0.000	0.7696	0.3865	1
9	1629	15.993	0.000	0.9447	0.6129	1
9	1630	-204.065	0.000	0.7537	0.4658	1
9	1638	-46.041	0.000	0.8467	0.4254	1
9	1652	-20.026	0.000	0.7636	0.4517	1
9	1677	158.967	0.000	0.7758	0.3768	1
9	1707	15.994	0.000	0.9710	0.8157	1
9	1809	2.014	0.000	0.7468	0.5668	1
9	1906	-36.000	0.000	0.7126	0.3744	1
9	1946	45.985	0.000	0.7720	0.3794	1
9	1949	-324.108	0.000	0.8205	0.5291	1
9	1975	-24.093	0.000	0.8400	0.3527	1
9	1984	182.019	0.000	0.7510	0.3725	1
9	2032	2.014	0.000	0.7281	0.4982	1
9	2033	60.948	0.000	0.7454	0.3674	1
9	2077	-294.097	0.000	0.8144	0.4879	1
9	2080	-0.002	0.000	0.9877	0.8811	1
9	2081	-176.034	0.000	0.8438	0.5157	1
9	2090	-426.140	0.000	0.7649	0.4491	1
