row ID,row m/z,row retention time,intensity_measure,Blank_202404241731_EB_dbgi_mapp_blk_pre02.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre03.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre01.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre04.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_01_01_Luca.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_01_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_02_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_01_01_Luca.mzML Peak area,Unnamed: 13
663,499.120719909668,4.83976325,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5783.245002283999,932746.6785398644,
664,297.24248250553387,11.151700111111111,area,7559.071588564176,4043.858997755213,7016.637963925784,3490.188361263579,7728.522155317391,5252.305189826519,0.0,3872.163872951672,978991.7920720126,117100.54686955172,
665,512.249267578125,3.24559675,area,0.0,0.0,0.0,0.0,0.0,0.0,238356.50935404608,806794.6299231952,0.0,0.0,
666,668.5075073242188,11.156674,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771421.7871980701,0.0,
667,456.2434387207031,3.9004507,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342130.65849355207,829647.9010020714,
668,432.2957305908203,5.5283731,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557412.2299233794,11981.104646565816,
669,214.14364369710287,1.619622033333333,area,0.0,0.0,0.0,0.0,419702.47896449966,391048.16285289824,42475338.822728015,24163152.726873405,97135.17282315817,771044.2518323206,
670,126.09155044566651,1.32436819,area,16935.29873598447,13197.331350463232,14447.508989840668,13121.43034998779,6101877.567448774,11615646.317626236,270108.9091415506,152326.40932501448,5788297.608588846,10594437.292410372,
671,295.1624755859375,2.9292032666666667,area,0.0,0.0,0.0,0.0,0.0,0.0,2855686.063949648,2566157.691638951,651871.6767069527,0.0,
672,281.2476699836426,7.981505269999999,area,24364.51443856169,21377.81931877603,23351.551667557,19577.575204730547,38261.72353397907,51454.40718573586,50955.96277077367,52161.64512251077,2894997.622405773,267410.32405191776,
