CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
420	1037	7	0.8712	-148.037
92	271	7	0.7035	313.102
1037	3787	7	0.8457	222.056
259	271	7	0.7312	-74.018
1037	2628	7	0.8039	296.075
92	1037	7	0.8734	-74.019
2628	3787	7	0.8745	-74.019
92	2628	7	0.8374	222.056
92	3787	7	0.8531	148.037
420	2481	7	0.7445	72.018
271	4000	7	0.764	-17.027
420	2628	7	0.7703	148.038
259	4000	7	0.778	-91.045
420	3787	7	0.8472	74.019
271	420	7	0.7072	-239.083
92	420	7	0.9156	74.018
4050	4113	8	0.8891	42.047
3220	3887	8	0.8481	-44.026
3220	4050	8	0.8731	-14.016
3887	4113	8	0.7638	72.057
1131	3220	8	0.7983	14.015
2254	4050	8	0.7027	0.000
3887	4050	8	0.7978	30.011
1131	4113	8	0.7756	42.046
2317	3887	8	0.7697	-100.089
2317	4050	8	0.8951	-70.078
2317	4113	8	0.9443	-28.032
3220	4113	8	0.9216	28.031
1131	2254	8	0.9289	-0.000
2317	3220	8	0.9457	-56.063
1131	4050	8	0.7764	-0.000
1131	2317	8	0.8087	70.078
2192	2237	9	0.884	-0.000
3434	3752	9	0.862	24.001
403	3483	9	0.8322	12.002
1874	2961	9	0.9066	-14.015
1140	3611	9	0.8686	18.011
1175	3705	9	0.8567	18.010
1175	3611	9	0.8438	18.011
2192	3080	9	0.8645	17.015
2772	3206	9	0.8824	24.001
2192	3511	9	0.8337	92.048
1668	3438	9	0.8832	-28.031
254	771	9	0.8776	27.996
1069	1729	9	0.886	-21.985
2834	3032	9	0.8235	-162.053
808	2772	9	0.8225	-2.016
1422	2270	9	0.8507	-14.015
1967	3190	9	0.8579	21.985
1714	2066	9	0.9342	-0.076
950	3438	9	0.8266	-4.030
287	675	9	0.8334	-14.015
2772	2961	9	0.8426	-27.994
40	1266	9	0.9409	0.000
686	3206	9	0.8236	27.996
994	1531	9	0.8277	17.027
1657	2772	9	0.8825	-0.001
482	2192	9	0.8582	179.079
1967	3199	9	0.864	-4.032
3611	3705	9	0.9126	-0.000
1657	2235	9	0.8412	24.000
2237	3511	9	0.8578	92.048
771	808	9	0.84	4.031
1175	2336	9	0.8528	18.011
2192	2834	9	0.8729	-179.079
482	2237	9	0.8341	179.079
1140	4430	9	0.9216	18.010
2336	4430	9	0.8234	-0.001
1341	1920	9	0.8306	-2.016
994	1175	9	0.874	-0.984
1729	1959	9	0.9336	-2.016
2035	2066	9	0.94	-0.000
1266	3511	9	0.9127	0.000
1140	4341	9	0.8429	-0.000
39	2066	9	0.8273	-152.157
717	3434	9	0.8728	-14.016
771	2022	9	0.8374	4.031
89	3438	9	0.8786	-2.015
3116	3933	9	0.8522	0.000
1967	3414	9	0.8672	-2.015
3740	4410	9	0.8382	0.000
1714	2267	9	0.8717	-0.076
931	3206	9	0.8377	28.032
