CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2382	3337	-124.125	0.000	0.8031	0.6357	1
2382	3429	189.137	0.000	0.7288	0.7097	1
2383	2499	-2.014	0.000	0.7484	0.6307	1
2383	2513	-2.012	0.000	0.7484	0.6307	1
2383	2624	208.147	0.000	0.7330	0.5854	1
2383	3028	208.146	0.000	0.7002	0.4852	1
2383	3189	-32.027	0.000	0.7434	0.6722	1
2383	3198	31.989	0.000	0.7319	0.5709	1
2383	3199	2.016	0.000	0.7251	0.6638	1
2383	3229	168.114	0.000	0.7072	0.5872	1
2383	3267	-2.016	0.000	0.7425	0.6418	1
2383	3420	232.146	0.000	0.7210	0.6543	1
2383	3492	18.010	0.000	0.7272	0.5696	1
2383	3543	18.010	0.000	0.7316	0.6192	1
2384	2398	-61.956	0.000	0.7408	0.6973	1
2384	2416	24.000	0.000	0.7674	0.6330	1
2384	2447	34.006	0.000	0.7476	0.5674	1
2384	2454	92.026	0.000	0.8406	0.4650	1
2384	2505	-32.026	0.000	0.7361	0.6621	1
2384	2538	63.995	0.000	0.8238	0.4731	1
2384	2550	-16.031	0.000	0.7444	0.4559	1
2384	2709	78.010	0.000	0.9113	0.5843	1
2384	2722	92.026	0.000	0.8528	0.6044	1
2384	2733	-26.015	0.000	0.8008	0.6347	1
2384	2752	-39.011	0.000	0.9353	0.6316	1
2384	2779	50.016	0.000	0.7054	0.4263	1
2384	2795	-32.026	0.000	0.7675	0.6342	1
2384	2831	44.029	0.000	0.8876	0.3922	1
2384	2836	-27.995	0.000	0.7177	0.4903	1
2384	2876	-23.999	0.000	0.7300	0.5669	1
2384	2910	78.010	0.000	0.7167	0.4897	1
2384	2951	-121.053	0.000	0.7336	0.6382	1
2384	2962	64.005	0.000	0.7322	0.5208	1
2384	2965	37.034	0.000	0.7635	0.2827	1
2384	2974	-23.999	0.000	0.7739	0.5864	1
2384	2975	-123.068	0.000	0.7785	0.6268	1
2384	2993	-34.042	0.000	0.7845	0.5945	1
2384	3034	46.005	0.000	0.7182	0.4039	1
2384	3061	55.992	0.000	0.7083	0.2719	1
2384	3113	-42.011	0.000	0.8961	0.6901	1
2384	3150	106.042	0.000	0.9608	0.6440	1
2384	3185	-0.000	0.000	0.9440	0.6499	1
2384	3247	106.041	0.000	0.9585	0.7265	1
2384	3261	126.031	0.000	0.7267	0.2799	1
2384	3268	35.110	0.000	0.8000	0.4371	1
2384	3344	159.042	0.000	0.7412	0.3377	1
2384	3407	44.026	0.000	0.9501	0.5806	1
2384	3468	53.182	0.000	0.7537	0.4271	1
2385	2502	0.002	0.000	0.7456	0.5755	1
2385	2537	0.001	0.000	0.7088	0.4956	1
2385	2555	14.017	0.000	0.7311	0.5934	1
2385	2579	0.000	0.000	0.7293	0.5792	1
2385	2991	2.017	0.000	0.7137	0.3947	1
2385	3095	2.017	0.000	0.7014	0.3817	1
2385	3252	28.032	0.000	0.7056	0.4317	1
2386	2421	15.995	0.000	0.8194	0.6420	1
2386	2437	-42.047	0.000	0.7925	0.6851	1
2386	2447	-130.041	0.000	0.7931	0.6822	1
2386	2514	-9.984	0.000	0.8225	0.7712	1
2386	2520	-187.063	0.000	0.7298	0.3867	1
2386	2580	-86.000	0.000	0.8795	0.7108	1
2386	2589	-9.945	0.000	0.7779	0.6050	1
2386	2600	-19.944	0.000	0.7039	0.5537	1
2386	2613	-82.042	0.000	0.7675	0.5300	1
2386	2651	15.995	0.000	0.7423	0.6673	1
2386	2683	-190.060	0.000	0.7188	0.3533	1
2386	2692	-105.023	0.000	0.7667	0.5935	1
2386	2746	-70.042	0.000	0.7788	0.5535	1
2386	2877	-118.041	0.000	0.7090	0.5293	1
2386	2892	30.047	0.000	0.7186	0.5490	1
2386	2893	-130.041	0.000	0.7084	0.7192	1
2386	2924	-82.042	0.000	0.7446	0.5997	1
2386	3094	-104.026	0.000	0.7888	0.6440	1
2386	3098	-82.042	0.000	0.8034	0.7429	1
2386	3133	-82.042	0.000	0.7537	0.6558	1
2386	3188	-24.000	0.000	0.7556	0.7153	1
2386	3204	14.052	0.000	0.7752	0.7683	1
2386	3205	-13.979	0.000	0.7033	0.6481	1
2386	3209	-150.105	0.000	0.7899	0.5423	1
2386	3228	-42.010	0.000	0.7520	0.5684	1
2386	3258	0.000	0.000	0.9838	0.8752	1
2386	3305	-84.056	0.000	0.7858	0.6581	1
2386	3363	-120.021	0.000	0.8586	0.8056	1
2386	3368	-104.026	0.000	0.7682	0.6424	1
2386	3388	32.026	0.000	0.7441	0.6774	1
2386	3426	-19.945	0.000	0.7125	0.5337	1
2386	3470	32.026	0.000	0.7005	0.7141	1
2386	3474	-262.230	0.000	0.7194	0.6349	1
2386	3493	-180.042	0.000	0.7060	0.6877	1
2386	3536	-82.042	0.000	0.7537	0.6558	1
2388	2404	41.028	0.000	0.7258	0.5453	1
2388	2416	-100.052	0.000	0.7559	0.5137	1
2388	2454	-32.026	0.000	0.7005	0.5012	1
2388	2671	-40.032	0.000	0.7411	0.5272	1
2388	2690	-190.062	0.000	0.7132	0.4674	1
2388	2722	-32.027	0.000	0.7351	0.6135	1
2388	2795	-156.079	0.000	0.7507	0.5723	1
2388	2836	-152.048	0.000	0.7217	0.5390	1
2388	2974	-148.051	0.000	0.7505	0.5689	1
2388	2975	-247.121	0.000	0.7382	0.5448	1
2388	2984	-5.967	0.000	0.7907	0.5892	1
2388	3113	-166.063	0.000	0.7431	0.5451	1
2388	3150	-18.011	0.000	0.7990	0.5732	1
2388	3247	-18.011	0.000	0.8078	0.6547	1
2388	3300	37.932	0.000	0.7367	0.5745	1
2389	2433	14.016	0.000	0.9797	0.8226	1
2389	2785	-24.000	0.000	0.8121	0.6421	1
2389	2834	-101.011	0.000	0.9210	0.5208	1
2389	2957	-61.053	0.000	0.8160	0.4213	1
2389	3026	-24.000	0.000	0.7876	0.5826	1
2389	3125	-25.026	0.000	0.7106	0.4842	1
2389	3329	-45.058	0.000	0.8282	0.4792	1
2389	3341	-24.000	0.000	0.8072	0.6419	1
2389	3400	14.963	0.000	0.9004	0.6682	1
2390	3207	-174.128	0.000	0.7813	0.4229	1
2391	2431	1.110	0.000	0.8854	0.6640	1
2391	2437	112.052	0.000	0.8875	0.4881	1
2391	2442	19.066	0.000	0.8622	0.6328	1
2391	2675	-14.017	0.000	0.9018	0.6371	1
2391	2687	-9.985	0.000	0.8411	0.5113	1
2391	2700	-163.993	0.000	0.8097	0.5538	1
2391	2733	-35.964	0.000	0.8906	0.5432	1
2391	2805	-138.974	0.000	0.8523	0.5127	1
2391	2811	-126.141	0.000	0.9016	0.6535	1
2391	2824	-18.455	0.000	0.7493	0.3572	1
2391	2849	-39.935	0.000	0.7774	0.5227	1
2391	2852	-17.954	0.000	0.8602	0.5453	1
2391	2898	-180.023	0.000	0.7083	0.6245	1
2391	2902	-27.996	0.000	0.9049	0.6561	1
2391	2944	-19.458	0.000	0.7149	0.3369	1
2391	3058	8.062	0.000	0.8919	0.5991	1
2391	3157	-38.017	0.000	0.9016	0.6145	1
2391	3171	-166.006	0.000	0.7619	0.4902	1
2391	3181	14.016	0.000	0.8152	0.5991	1
2391	3206	-7.933	0.000	0.8504	0.6016	1
2391	3213	-25.948	0.000	0.8148	0.5585	1
2391	3228	112.088	0.000	0.9257	0.6422	1
2391	3289	-39.935	0.000	0.7780	0.4913	1
2391	3304	-197.996	0.000	0.8045	0.6546	1
2391	3319	-9.985	0.000	0.8664	0.5428	1
2391	3330	-13.920	0.000	0.7899	0.6284	1
2391	3356	42.047	0.000	0.9137	0.6178	1
2391	3404	-5.953	0.000	0.9006	0.6528	1
2391	3411	30.047	0.000	0.8612	0.5771	1
2391	3437	-166.009	0.000	0.7393	0.3882	1
2391	3440	-1.980	0.000	0.8894	0.6403	1
2391	3457	-49.943	0.000	0.8388	0.5914	1
2391	3476	16.031	0.000	0.8576	0.5101	1
2391	3499	-18.864	0.000	0.7039	0.3531	1
2391	3504	-184.033	0.000	0.7120	0.4723	1
2392	2451	-18.009	0.000	0.7419	0.4540	1
2394	2397	0.001	0.000	0.9620	0.6644	1
2394	3017	2.016	0.000	0.7983	0.5792	1
2394	3362	2.016	0.000	0.8071	0.5723	1
2397	3017	2.015	0.000	0.8081	0.7174	1
2397	3362	2.015	0.000	0.8160	0.7012	1
2398	2481	-23.044	0.000	0.8601	0.6298	1
2398	2932	37.956	0.000	0.8647	0.7355	1
2398	2936	-6.035	0.000	0.8228	0.6686	1
2398	3076	-180.247	0.000	0.7051	0.5501	1
2398	3113	19.945	0.000	0.7334	0.6415	1
2398	3150	167.997	0.000	0.7121	0.5474	1
2398	3247	167.997	0.000	0.7074	0.5666	1
2399	2645	0.001	0.000	1.0000	1.0000	1
2400	2417	15.921	0.000	0.9280	0.6467	1
2400	2512	17.936	0.000	0.8429	0.5174	1
2400	2611	1.945	0.000	0.8799	0.5998	1
2400	2630	-0.109	0.000	0.9094	0.6310	1
2400	2631	-6.053	0.000	0.8899	0.5781	1
2400	2680	278.149	0.000	0.9179	0.6054	1
2400	2720	27.963	0.000	0.9042	0.5781	1
2400	2726	17.937	0.000	0.9312	0.6511	1
2400	2739	-104.122	0.000	0.8853	0.5447	1
2400	2766	-16.032	0.000	0.9098	0.5998	1
2400	2778	25.942	0.000	0.9201	0.5998	1
2400	2878	13.905	0.000	0.9276	0.5939	1
2400	2913	94.915	0.000	0.9320	0.6751	1
2400	2977	276.135	0.000	0.9101	0.5738	1
2400	3025	14.014	0.000	0.7874	0.4535	1
2400	3030	14.014	0.000	0.7874	0.4535	1
2400	3073	66.883	0.000	0.9084	0.5781	1
2400	3219	124.051	0.000	0.9068	0.5600	1
