CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1	96	-28.032	0.000	0.9222	0.6531	1
1	147	15.995	0.000	0.8769	0.6057	1
1	201	-28.032	0.000	0.9096	0.6377	1
1	202	-62.073	0.000	0.7281	0.6465	1
1	260	-108.023	0.000	0.8003	0.4853	1
1	308	0.000	0.000	0.9478	0.7456	1
1	415	0.000	0.000	0.9478	0.7456	1
1	465	-107.003	0.000	0.8534	0.5615	1
1	478	36.072	0.000	0.8132	0.4364	1
1	480	9.984	0.000	0.9222	0.6227	1
1	519	-7.969	0.000	0.7783	0.4215	1
1	669	66.047	0.000	0.8974	0.5554	1
1	722	-2.016	0.000	0.9101	0.6184	1
1	739	28.067	0.000	0.9244	0.6646	1
1	847	-11.964	0.000	0.8365	0.6161	1
1	945	-7.969	0.000	0.8136	0.4126	1
1	953	-80.986	0.000	0.8648	0.4616	1
1	1106	36.072	0.000	0.7705	0.4499	1
1	1248	52.031	0.000	0.7018	0.3974	1
1	1287	-150.991	0.000	0.7597	0.4376	1
1	1327	40.031	0.000	0.8650	0.5064	1
1	1359	54.046	0.000	0.9080	0.6153	1
1	1361	26.015	0.000	0.8951	0.5963	1
1	1415	-147.033	0.000	0.7049	0.4124	1
1	1434	12.000	0.000	0.9101	0.6227	1
1	1445	-25.980	0.000	0.8967	0.6184	1
1	1476	122.073	0.000	0.7492	0.4000	1
1	1493	-60.022	0.000	0.7552	0.5808	1
1	1556	54.046	0.000	0.9080	0.6153	1
1	1571	-25.979	0.000	0.8783	0.4856	1
1	1573	23.927	0.000	0.7207	0.3222	1
1	1621	-25.980	0.000	0.9142	0.5463	1
1	1649	-67.990	0.000	0.8489	0.5283	1
1	1735	80.026	0.000	0.9162	0.5916	1
1	1740	8.004	0.000	0.9101	0.6106	1
1	1780	-58.006	0.000	0.7087	0.5601	1
1	1797	-25.980	0.000	0.8970	0.6678	1
1	1888	-41.975	0.000	0.8291	0.4819	1
1	2012	80.026	0.000	0.7429	0.3475	1
1	2085	-26.016	0.000	0.9148	0.6035	1
1	2147	38.015	0.000	0.7795	0.4906	1
1	2222	-111.980	0.000	0.7558	0.3881	1
1	2251	-62.073	0.000	0.7281	0.6465	1
1	2279	-128.990	0.000	0.8009	0.5423	1
1	2386	122.073	0.000	0.7279	0.3439	1
1	2408	29.051	0.000	0.8349	0.5661	1
1	2447	-7.969	0.000	0.9395	0.7045	1
1	2514	112.088	0.000	0.7006	0.4014	1
1	2520	-64.991	0.000	0.8863	0.5603	1
1	2580	36.072	0.000	0.8132	0.4364	1
1	2613	40.031	0.000	0.9085	0.5923	1
1	2683	-67.987	0.000	0.8747	0.6422	1
1	2687	-42.011	0.000	0.7967	0.4573	1
1	2692	17.050	0.000	0.7223	0.4313	1
1	2746	52.031	0.000	0.8860	0.5387	1
1	2873	-53.974	0.000	0.8152	0.5474	1
1	2877	4.031	0.000	0.7349	0.4518	1
1	2886	-108.024	0.000	0.7279	0.4245	1
1	2893	-7.969	0.000	0.7331	0.4983	1
1	2924	40.031	0.000	0.8853	0.5278	1
1	2931	-30.012	0.000	0.7053	0.4470	1
1	2953	18.046	0.000	0.8029	0.5290	1
1	3027	37.942	0.000	0.7641	0.4286	1
1	3034	4.031	0.000	0.8325	0.5521	1
1	3094	18.047	0.000	0.7702	0.4575	1
1	3098	40.031	0.000	0.7699	0.4986	1
1	3133	40.031	0.000	0.8159	0.5371	1
1	3209	-28.033	0.000	0.9222	0.6531	1
1	3258	122.073	0.000	0.7325	0.3658	1
1	3305	38.016	0.000	0.8991	0.5391	1
1	3319	-42.011	0.000	0.8113	0.4614	1
1	3344	117.067	0.000	0.7329	0.4330	1
1	3368	18.047	0.000	0.8697	0.5111	1
1	3493	-57.970	0.000	0.7029	0.4363	1
1	3536	40.031	0.000	0.8159	0.5371	1
2	81	300.267	0.000	0.7253	0.5851	1
2	241	-15.011	0.000	0.7238	0.5531	1
2	537	-33.021	0.000	0.7745	0.6881	1
2	582	247.220	0.000	0.7488	0.6524	1
2	947	282.257	0.000	0.7236	0.6349	1
2	977	282.257	0.000	0.7222	0.6593	1
2	1021	282.257	0.000	0.7172	0.6374	1
2	1530	282.257	0.000	0.7182	0.5950	1
2	1696	300.267	0.000	0.7246	0.5538	1
2	1769	300.267	0.000	0.7146	0.5559	1
