CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
690	2036	7	0.9471	-15.995
1681	2036	7	0.8582	24.058
1779	2036	7	0.9025	-62.016
1896	2036	7	0.8752	-62.015
2036	3130	7	0.8791	7.970
2036	4140	7	0.8995	-32.063
574	4318	7	0.8729	54.011
303	1779	7	0.9171	32.005
574	1779	7	0.9303	54.011
690	1779	7	0.9335	46.021
303	1439	7	0.9022	-100.089
1439	1896	7	0.8454	132.094
1439	3130	7	0.8473	78.048
303	1592	7	0.9271	-36.021
574	1592	7	0.8596	-14.015
1592	3130	7	0.8892	13.980
303	1884	7	0.9127	16.031
303	574	7	0.8915	-22.006
574	690	7	0.9143	7.990
574	3130	7	0.8837	-0.035
574	3600	7	0.8508	-55.969
3130	3600	7	0.8515	-55.934
3130	4140	7	0.8475	-40.032
303	3130	7	0.8798	-22.041
1681	3130	7	0.8658	32.028
97	4140	7	0.8518	-54.047
690	4140	7	0.914	-48.058
97	1681	7	0.8449	-46.043
303	690	7	0.9706	-14.015
846	869	8	0.7915	-176.031
869	2340	8	0.932	-17.028
869	2749	8	0.7983	-87.033
530	2749	8	0.8175	-120.042
2340	2587	8	0.8158	19.969
2340	3374	8	0.89	-58.006
834	1246	8	0.8092	-35.038
1246	2587	8	0.7707	33.984
73	1246	8	0.9134	15.995
1328	3268	10	0.8503	12.025
1328	3604	10	0.8919	0.036
607	1232	10	0.969	0.010
1217	1232	10	0.9064	-26.016
1232	2684	10	1.0	-0.010
1232	4411	10	0.9791	-0.010
1232	4417	10	0.9056	23.964
1232	4426	10	0.9807	-0.010
1232	4428	10	0.9056	23.964
492	1776	10	0.9508	17.962
814	1776	10	0.9686	17.026
944	1776	10	0.9495	-0.000
1217	1776	10	0.9524	-0.037
1658	1776	10	0.9933	-0.036
1776	2190	10	0.9508	-17.974
1776	3862	10	0.9508	-17.986
2979	4170	10	0.9178	23.999
2979	4411	10	0.9076	262.230
2979	4426	10	0.901	262.230
607	2979	10	0.8945	-262.230
607	2684	10	0.969	0.000
607	3268	10	0.8568	31.005
607	4170	10	0.8939	-238.231
607	4411	10	0.9876	0.000
607	4426	10	0.9887	0.000
402	1155	10	0.8792	33.984
921	1155	10	0.9206	14.016
1155	2422	10	0.9025	-48.000
3268	3604	10	0.8938	-11.988
240	944	10	0.9648	-0.036
279	944	10	0.9754	-0.036
814	944	10	0.9528	17.026
944	2178	10	0.9636	-0.000
944	2370	10	0.9698	0.000
944	3310	10	0.9584	-0.011
944	3538	10	0.9676	0.036
944	3610	10	0.9636	-0.011
2684	4426	10	0.9807	0.000
4170	4426	10	0.8966	238.231
4411	4426	10	0.9904	0.000
1509	1897	10	0.9569	-0.011
743	1688	10	0.9628	-0.036
1688	1862	10	0.9522	0.036
1688	1897	10	0.9442	0.036
2684	4428	10	0.9056	23.975
921	4428	10	0.9469	113.084
4417	4428	10	1.0	0.000
1217	4428	10	0.9271	-2.052
1229	4428	10	0.9326	0.004
1217	1658	10	0.9533	-0.000
1217	2684	10	0.9064	-26.027
1217	4411	10	0.8993	-26.027
1217	4417	10	0.9271	-2.052
240	279	10	0.9767	0.000
240	492	10	0.9716	-17.998
240	1262	10	0.9669	-18.010
240	2178	10	0.9927	-0.036
240	2190	10	0.9716	-18.010
240	2370	10	0.9726	-0.036
240	3538	10	0.969	0.000
240	3610	10	0.9927	-0.047
240	3862	10	0.9716	-18.023
921	2422	10	0.8892	-33.984
921	4417	10	0.9469	113.084
743	1897	10	0.9527	-0.000
1897	3310	10	0.9367	16.979
2370	3610	10	0.9714	-0.011
279	3610	10	0.978	-0.047
492	3610	10	0.974	17.951
3538	3610	10	0.9706	-0.047
3610	3862	10	0.9741	-17.976
1262	3610	10	0.9721	17.963
2178	3610	10	1.0	-0.011
2190	3610	10	0.974	17.963
814	1658	10	0.9637	17.063
2370	3862	10	0.9523	-17.987
279	3862	10	0.9583	-18.023
492	3862	10	1.0	-0.025
3538	3862	10	0.9503	-18.023
1262	3862	10	0.9812	-0.013
2178	3862	10	0.9741	-17.986
2190	3862	10	1.0	-0.013
743	1862	10	0.9582	0.000
743	3538	10	0.952	17.026
279	2190	10	0.9583	-18.010
492	2190	10	1.0	-0.012
1262	2190	10	0.9812	-0.000
2178	2190	10	0.9741	-17.974
2190	2370	10	0.9523	17.974
2190	3538	10	0.9503	18.010
2684	4411	10	0.9791	0.000
2684	4417	10	0.9056	23.975
4170	4411	10	0.8987	238.231
279	1262	10	0.959	-18.010
492	1262	10	0.9812	-0.012
1262	2178	10	0.9721	17.974
1262	2370	10	0.953	17.974
2370	3310	10	0.9625	-0.011
3310	3538	10	0.9679	0.048
279	3310	10	0.9643	-0.048
1229	4417	10	0.9326	0.004
279	2178	10	0.978	-0.036
492	2178	10	0.974	17.962
2178	2370	10	0.9714	0.000
2178	3538	10	0.9706	0.036
279	492	10	0.9583	-17.998
279	2370	10	0.9802	-0.036
279	3538	10	0.9819	0.000
2370	3538	10	0.9816	0.036
492	3538	10	0.9503	17.998
492	2370	10	0.9523	17.962
1630	2176	11	0.7018	-58.042
1630	3631	11	0.7558	-58.042
1630	4316	11	0.7163	-126.104
2176	3631	11	0.7791	0.000
2176	4316	11	0.733	-68.062
3631	4316	11	0.7664	-68.062
785	1879	13	0.8433	12.000
1879	2253	13	0.9086	-32.026
1879	2499	13	0.8815	17.026
785	4160	13	0.9086	-130.027
2748	3591	13	0.9088	17.026
785	3591	13	0.8889	17.026
785	2748	13	0.8706	-0.000
1114	2779	14	0.8949	-0.984
1114	3087	14	0.9026	-202.049
1114	4017	14	0.9036	-71.008
4	1435	14	0.8947	1.979
1168	1435	14	0.8943	1.979
1435	2271	14	0.8972	-1.979
1435	2803	14	0.898	-1.979
1435	3972	14	0.8961	-1.979
4	577	14	0.8873	14.016
577	1168	14	0.8703	-14.015
577	2271	14	0.883	-14.015
577	2803	14	0.8853	-14.016
577	3972	14	0.8785	-14.015
2271	2779	14	0.8983	-32.027
2779	2803	14	0.8613	32.026
2779	3087	14	0.932	-201.065
2779	3972	14	0.8967	32.026
2779	4017	14	0.8911	-70.024
4	2779	14	0.8887	-32.026
1168	2779	14	0.8826	-32.027
145	3020	14	0.8995	14.015
145	3322	14	0.8854	1.995
145	3791	14	0.877	14.005
2271	3020	14	0.8591	-1.996
2803	3020	14	0.863	-1.996
3020	3791	14	0.9218	-0.010
4	3020	14	0.8564	-1.996
1168	3020	14	0.8593	-1.996
4	1168	14	0.94	0.000
1168	2271	14	0.9475	0.000
1168	2803	14	0.9378	-0.000
1168	3322	14	0.8844	-14.016
1168	3791	14	0.8633	-2.006
1168	3972	14	0.9446	-0.000
2271	2803	14	0.9403	-0.000
2803	3322	14	0.8964	-14.016
2803	3972	14	0.9506	0.000
4	2803	14	0.9616	0.000
2271	3972	14	0.9441	-0.000
3087	3972	14	0.843	233.091
3322	3972	14	0.8977	14.016
4	3972	14	0.9598	0.000
3791	3972	14	0.8449	2.006
2271	3791	14	0.8565	-2.006
3087	4017	14	0.9045	131.041
2271	3322	14	0.8737	-14.016
4	2271	14	0.9406	0.000
4	3322	14	0.9061	-14.016
1581	3736	15	0.8677	14.015
446	447	16	0.8944	-24.000
447	1019	16	0.9284	2.016
447	1664	16	0.8846	-2.016
241	1460	16	0.7968	-18.011
3294	3419	16	0.7472	174.213
3294	4049	16	0.7799	2.016
3294	4096	16	0.7799	2.016
446	3294	16	0.7418	-81.058
3488	4391	16	0.7727	146.037
