formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C15H14O5	[M + H]+	C15H14O5	0.9999999999999999	36.21119331556224	30.32070727046327	5.890486045098971	6	0.9778030734206035	-0.9185845736861864	1.3187098975498766	-0.5541488437712554		275.09125	219.986376	1_mapp_batch_00111_sirius_1	1
1	C35H42O9	[M + H]+	C35H42O9	0.9999999999999999	16.34011508438724	6.385793244590687	9.954321839796552	3	0.1495016611295681	0.9668809604557833	2.764494876038541	2.9175033659243432		607.29193	619.5189600000001	2_mapp_batch_00111_sirius_2	2
1	C6H14O6	[M + K]+	C6H14O6	0.6110552763819096	6.1612840048084685	3.3721361591393597	2.789147845669109	1	0.0	-1.5100320536373482	1.5100320536373482	-1.5100320536373482		221.04186	35.32386	3_mapp_batch_00111_sirius_3	3
1	C12H22O11	[M + K]+	C12H22O11	0.9999999999999999	9.971231743373025	9.971231743373025	0.0	3	0.24319629415170813	0.20002597185659515	0.22293555488319014	-0.22293555488319014		381.07928	36.549061800000004	4_mapp_batch_00111_sirius_4	4
1	C21H20O11	[M + H]+	C21H20O11	0.9999999999999999	27.486774066053968	19.436960923009742	8.049813143044226	7	0.9820248480042293	0.06454516598920379	4.194137530185547	-1.2661228620473455		449.10727	202.995294	5_mapp_batch_00111_sirius_5	5
1	C35H42O11	[M - H2O + H]+	C35H40O10	0.5160804020100503	36.69117316225297	26.68822921842682	10.002943943826152	9	0.23222106360792485	1.282907088964312	1.282907088964312	-28988.248084495222		621.27045	568.1668020000001	6_mapp_batch_00111_sirius_6	6
1	C15H14O5	[M + H]+	C15H14O5	0.9999999999999999	36.64477117318156	30.689358066591996	5.955413106589563	6	0.9799890350877193	0.09694317149629265	0.6262480078148828	-0.11040398798100112		275.09137	273.31677	7_mapp_batch_00111_sirius_7	7
1	C21H20O12	[M + H]+	C21H20O12	0.011557788944723616	42.15280463324268	35.617814511570444	6.534990121672237	16	0.9871572724492914	2.1964635814701334	3.303686211235021	0.0987519828063355		465.10280	186.634848	8_mapp_batch_00111_sirius_8	8
1	C11H12N4O4	[M + K]+	C11H12N4O4	0.9884422110552764	36.94480374200465	36.94480374200465	0.0	33	0.8313247174816195	-1.847731193773639	2.6239740292122904	-2.6239740292122904		303.04822	202.68424199999998	9_mapp_batch_00111_sirius_9	9
1	C18H35NO2	[M - H2O + H]+	C18H33NO	0.9999999999999999	210.51184771033218	204.73495954723148	5.776888163100702	56	0.990606099601081	-0.38720527514500946	2.0562839882391772	-64264.95031887451		280.26297	524.467128	10_mapp_batch_00111_sirius_10	10
