feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
1	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q2268463	VGEREEWJJVICBM-UHFFFAOYSA-N	InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2	O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O	C15H14O5	pos_1_1proton	274.084123548	Phloretin	VGEREEWJJVICBM	Shikimates and Phenylpropanoids	Flavonoids	Chalcones	http://www.wikidata.org/entity/Q158657	Malus pumila	854961.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Rosaceae']	['Maleae']	['Malus']	['Malus pumila']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Rosaceae']	['Maleae']	['Malus']	['Malus pumila']	9	3	10.5	1	40	Shikimates and Phenylpropanoids	0.9	Flavonoids	0.8	Chalcones	0.8
10	1.0	0.8004794	ISDB	http://www.wikidata.org/entity/Q27164841	SFIHQZFZMWZOJV-UHFFFAOYSA-N	InChI=1S/C18H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H2,19,20)	CCCCCC=CCC=CCCCCCCCC(N)=O	C18H33NO	nan	279.256214676	CID 3930	SFIHQZFZMWZOJV	Fatty acids	Fatty amides	Primary amides	http://www.wikidata.org/entity/Q237465	Averrhoa bilimbi	829006.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Oxalidales']	['Oxalidaceae']	['Unknown']	['Averrhoa']	['Averrhoa bilimbi']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	2	8.20191764831543	1	27	Fatty acids	0.88	Fatty amides	0.88	Fatty aldehydes	0.52
100	1.0	0.96629745	ISDB	http://www.wikidata.org/entity/Q104400222	RNVUDWOQYYWXBJ-IEGSVRCHSA-N	InChI=1S/C20H18O10/c21-9-3-1-8(2-4-9)18-19(30-20-17(27)15(25)12(24)7-28-20)16(26)14-11(23)5-10(22)6-13(14)29-18/h1-6,12,15,17,20-25,27H,7H2/t12-,15-,17+,20-/m0/s1	O=c1c(O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	C20H18O10	nan	418.089996776	Kaempferol 3-O-arabinoside	RNVUDWOQYYWXBJ	Shikimates and Phenylpropanoids	Flavonoids	Flavonols	http://www.wikidata.org/entity/Q344900	Rosa chinensis	1054817.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Rosaceae']	['Unknown']	['Rosa']	['Rosa chinensis']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Rosaceae']	nan	nan	nan	6	3	11.365189790725708	1	102	Shikimates and Phenylpropanoids	1.0	Flavonoids	1.0	Flavonols	1.0
1001	1.0	0.35007897	ISDB	http://www.wikidata.org/entity/Q105203966	OZOLQBVPEIWKPL-ARJAWSKDSA-N	InChI=1S/C22H28O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23/h1,3-4,23H,5-8,11-14,17-19,22H2/b4-3-	C#C/C=C\CCCCC#CCCCCC#CCCCC#CCO	C22H28O	nan	308.214015516	(Z)-docos-19-en-2,7,13,21-tetrayn-1-ol	OZOLQBVPEIWKPL	Fatty acids	Fatty acyls	Fatty alcohols	http://www.wikidata.org/entity/Q3461459	Callyspongia	1031750.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Haplosclerida']	['Callyspongiidae']	['Unknown']	['Callyspongia']	['Unknown']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	0	2.4003158807754517	1	487	Terpenoids	0.7058823529411765	Carotenoids (C40)	0.35294117647058826	Carotenoids (C40, β-β)	0.35294117647058826
1003	54.0	0.50861907	ISDB	http://www.wikidata.org/entity/Q27104033	WTEVQBCEXWBHNA-YFHOEESVSA-N	InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7-	CC(C)=CCC/C(C)=C\C=O	C10H16O	nan	152.120115132	Neral	WTEVQBCEXWBHNA	Terpenoids	Monoterpenoids	Acyclic monoterpenoids	http://www.wikidata.org/entity/Q158657	Malus pumila	854961.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Rosaceae']	['Maleae']	['Malus']	['Malus pumila']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Rosaceae']	['Maleae']	['Malus']	['Malus pumila']	9	2	12.034476280212402	1	138	Terpenoids	0.36363636363636365	Monoterpenoids	0.3181818181818182	Dicarboxylic acids	0.3181818181818182
1005	19.0	0.0	MS1_match	http://www.wikidata.org/entity/Q5404446	WDKYDMULARNCIS-GQCTYLIASA-N	InChI=1S/C11H12O4/c1-2-15-11(14)6-4-8-3-5-9(12)10(13)7-8/h3-7,12-13H,2H2,1H3/b6-4+	CCOC(=O)/C=C/c1ccc(O)c(O)c1	C11H12O4	pos_1_1proton	208.073558864	Ethyl caffeate	WDKYDMULARNCIS	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q165321	Prunus serrulata	746756.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Rosaceae']	['Amygdaleae']	['Prunus']	['Prunus serrulata']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Rosaceae']	['Amygdaleae']	['Prunus']	nan	8	3	9.5	1	290	Shikimates and Phenylpropanoids	1.0	Phenylpropanoids (C6-C3)	1.0	Cinnamic acids and derivatives	1.0
1006	2.0	0.56695807	ISDB	http://www.wikidata.org/entity/Q27156608	DBHKHNGBVGWQJE-USWSLJGRSA-N	InChI=1S/C23H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h6-7,9-10,22,25H,2-5,8,11-21,24H2,1H3,(H,27,28)/b7-6-,10-9-/t22-/m1/s1	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN	C23H44NO7P	nan	477.285539378	1-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphoethanolamine	DBHKHNGBVGWQJE	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	http://www.wikidata.org/entity/Q30046	Vitis vinifera	756728.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Vitales']	['Vitaceae']	['Viteae']	['Vitis']	['Vitis vinifera']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	0	6.267832279205322	1	-1	nan	nan	nan	nan	nan	nan
1009	1.0	0.3168676	ISDB	http://www.wikidata.org/entity/Q105145181	KRQUGYHEWIVMJV-RZPXKCGYSA-N	InChI=1S/C37H64O4/c1-3-4-5-6-7-8-9-10-11-12-13-17-20-23-26-33-35(40-33)28-29-36-34(41-36)27-24-21-18-15-14-16-19-22-25-32-30-31(2)39-37(32)38/h17,20,30-31,33-36H,3-16,18-19,21-29H2,1-2H3/b20-17-/t31-,33-,34-,35-,36-/m1/s1	CCCCCCCCCCCC/C=C\CC[C@H]1O[C@@H]1CC[C@H]1O[C@@H]1CCCCCCCCCCC1=C[C@@H](C)OC1=O	C37H64O4	nan	572.480460528	(2R)-4-[10-[(2R,3R)-3-[2-[(2R,3R)-3-[(Z)-hexadec-3-enyl]oxiran-2-yl]ethyl]oxiran-2-yl]decyl]-2-methyl-2H-furan-5-one	KRQUGYHEWIVMJV	Polyketides	Linear polyketides	Acetogenins	http://www.wikidata.org/entity/Q1709343	Annona muricata	303957.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Magnoliales']	['Annonaceae']	['Annoneae']	['Annona']	['Annona muricata']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	3	6.767470359802246	1	221	Polyketides	1.0	Linear polyketides	1.0	Acetogenins	1.0
101	9.0	0.27381936	ISDB	http://www.wikidata.org/entity/Q27145599	NSOPGAYUGBZWHL-YTWBPVBXSA-N	InChI=1S/C39H64O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(41)43-35-37(40)36-44-39(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,37,40H,3-4,9-10,15-16,21-36H2,1-2H3/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC(O)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC	C39H64O5	nan	612.475375148	1,3-Dilinolenoylglycerol	NSOPGAYUGBZWHL	Fatty acids	Glycerolipids	Triacylglycerols	http://www.wikidata.org/entity/Q11006	Glycine max	681762.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Phaseoleae']	['Glycine']	['Glycine max']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	2	6.095277428627014	1	6	Fatty acids	0.4307692307692308	Glycerolipids	0.18461538461538463	Unsaturated fatty acids	0.12307692307692308
1012	3.0	0.5976439	ISDB	http://www.wikidata.org/entity/Q104949162	BYDQKMZEOZVIJM-ZGCJARKRSA-N	InChI=1S/C13H20/c1-5-6-9-12-11(2)8-7-10-13(12,3)4/h5-6,8-9H,7,10H2,1-4H3/b6-5-,12-9-	C/C=C\C=C1\C(C)=CCCC1(C)C	C13H20	nan	176.15650064	(6E)-6-[(Z)-but-2-enylidene]-1,5,5-trimethylcyclohexene	BYDQKMZEOZVIJM	Terpenoids	Apocarotenoids	Apocarotenoids (β-)	http://www.wikidata.org/entity/Q156790	Passiflora edulis	183517.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Passifloraceae']	['Unknown']	['Passiflora']	['Passiflora edulis']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	3	7.890575647354126	1	536	Terpenoids	1.0	Apocarotenoids	1.0	Apocarotenoids (β-)	1.0
