	Malus_vs_Potentilla_fold_change_log2	Malus_vs_Potentilla_p_value	Malus_vs_Prunus_fold_change_log2	Malus_vs_Prunus_p_value	Potentilla_vs_Prunus_fold_change_log2	Potentilla_vs_Prunus_p_value
6-{[5,7-Dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-4H-chromen-3-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid	9.25587050472871	0.0287553003708992	7.61882526294447	0.532070422339011	-1.63704524178424	0.116370411631966
Desferrioxamine Et1	3.38305429007303	0.996505855584286	7.18760034201526	0.483468235952219	3.80454605194223	0.524942670930305
(3x,5x,10x)-9,10-Didehydroisohumbertiol O-[rhamnosyl-(1->4)-rhamnosyl-(1->2)-[rhamnosyl-(1->6)]-glucoside]	-1.71022377439062	0.999996317787974	8.36429003054408	0.48375313836628	10.0745138049347	0.482438507346336
PF-04691502	1.02114916839508	0.996295147043961	4.1180026716876	0.443146659580459	3.09685350329252	0.483881412182094
3-fluoro-N-[1-[2-[(2-fluorophenyl)methylamino]-2-oxoethyl]-4-piperidinyl]benzamide	-3.44348009352949	0.997007073191367	3.93442420820991	0.515976239699014	7.37790430173941	0.477888794899244
benzoxonium chloride	2.81003048330951	0.999337356850209	7.7320468482614	0.484984201417944	4.92201636495189	0.502839128212248
9,13-Dihydroxy-4-megastigmen-3-one 9-glucoside	1.68510880664872	0.207905707614494	0.389062746830073	0.96054889509065	-1.29604605981864	0.290612620377102
Epicatechin-(2beta->5,4beta->6)-ent-epicatechin	-0.618260052227511	0.990266703450934	2.80672553666885	0.132832797712769	3.42498558889637	0.112044862350153
nicotinamide	1.13294945906378	0.806731454652164	1.62583380029172	0.541967592056319	0.49288434122794	0.884884844384166
pipecolic acid	0.541364725734772	0.876959395478949	0.158532666880194	0.991312692667364	-0.382832058854578	0.929057463824844
7,8-dihydroxycoumarin	4.80228254381699	0.151916226005998	3.24296293922249	0.778407543399682	-1.5593196045945	0.35560845985258
Leucyl-Valine	-0.225065116233318	0.999880629883031	3.676252975734	0.495160670149674	3.90131809196732	0.487604387759458
4-Methyl-1-phenyl-2-pentanone	1.24359272712481	0.993518009337358	4.84650626362951	0.14852378479447	3.6029135365047	0.170552138148783
Phenylalanyl-Valine	3.53063668743442	0.592871316824252	3.28383472552862	0.692028777093245	-0.246801961905801	0.983229299972332
quinolin-4-ol	-1.28726926251877	0.944505120697077	1.91676281710961	0.346958350343056	3.20403207962839	0.234583778691935
Physangulide	-0.332576084605041	0.999988855675241	6.78890899002697	0.117020645200002	7.12148507463201	0.116350964756073
terephthalamide	-4.33060770820312	0.258570739101959	-0.336038902172234	0.922184761785189	3.99456880603088	0.407974296908822
2-Methoxy-5-methylpyrazine	1.68889612412565	0.999529510232995	6.5486700929694	0.486852330748225	4.85977396884375	0.501904531314445
hexopyranose	0.953198737095814	0.00435465828780524	-0.0463536878978832	0.982465501984892	-0.999552424993697	0.00368358548016545
N-(icosanoyl)ethanolamine	-0.327528199570415	0.738669434366879	-0.0431832735909891	0.993301348363628	0.284344925979426	0.799018897958672
L-Glutathione (reduced)	-0.391222321110027	0.754871498581662	-1.07912125910855	0.307518613889465	-0.687898937998525	0.6651683662435
desferrioxamine G	-11.7515762151013	0.468851254860566	-11.4059410656124	0.468900426772792	0.345635149488987	0.999999994667773
spermidine	-1.25705912949005	0.739313355783712	-6.37703785901909	0.449940243923906	-5.11997872952903	0.859546954190481
3-alpha-Mannobiose	-0.231767799939095	0.880340634564024	-2.11453489597132	0.099632089181267	-1.88276709603222	0.185085647066745
2-Amino-2-Deoxy-Hexose	-2.22590634157726	0.0636155669599877	-0.261652196964312	0.822039090595063	1.96425414461295	0.137277874549021
trans-Cinnamoyl b-D-glucoside	-5.29845874119458	0.141166126924655	-0.956539140363595	0.539142300982973	4.34191960083098	0.532748566169227
N2,N9-dimethyl-11-oxo-5,6-dihydrodibenzo[3,1-b:3',1'-f][7]annulene-2,9-disulfonamide	-2.21307601295217	0.03657902246266	-0.45477841752611	0.523524832605483	1.75829759542606	0.153775439871197
cinnamic acid	-2.90485115245898	0.165692852314023	-0.643233123090418	0.671221984091853	2.26161802936856	0.47500914855364
N-[2-(1H-benzimidazol-2-yl)ethyl]-3,5-dinitrobenzamide	7.06812454121532	0.0409094269333607	-1.08987383148975	0.999908717688706	-8.15799837270506	0.0402762854121911
6''-O-(3-Hydroxy-3-methylglutaroyl)astragalin	2.68523455402478	0.583062883365445	-6.00993817146785	0.980789519142796	-8.69517272549263	0.482836571541168
elaidic acid	-0.00288759594086602	0.99969220302941	0.0345564988283584	0.95608974744777	0.0374440947692246	0.948809457553837
benzoic acid	-4.15010406189375	0.716271006118989	1.52100958750598	0.320969800717128	5.67111364939972	0.117827380479361
N,N-bis(2-hydroxyethyl)dodecanamide	-0.0514599780404947	0.70439454944563	-0.0526027448961546	0.694238972266666	-0.00114276685565982	0.99982300303767
13-Dodecan-2-yl-6-(1-hydroxyethyl)-3-(hydroxymethyl)-12-methyl-9-propan-2-yl-1-oxa-4,7,10-triazacyclotridecane-2,5,8,11-tetrone	-0.0893274116615048	0.746073326050749	-0.214349803942775	0.273616648751646	-0.12502239228127	0.619445529480213
4,7-Dihydroxy-2H-1-benzopyran-2-one	6.44626526323808	0.462921721309359	-0.353633349469694	0.999994396304721	-6.79989861270777	0.461341392741271
1,3,4,5-Tetrahydroxycyclohexanecarboxylic acid	-1.63989324544001	0.136115493150601	-1.78557120590101	0.119308187196083	-0.145677960461004	0.994149117076204
6''-malonylastragalin	4.45892256965077	0.476510926397018	-2.73531758862325	0.998618652772486	-7.19424015827402	0.451630280136651
quercetin 3-O-(6''-malonyl-glucoside) 7-O-glucoside	2.93436785495329	0.535736949585429	-3.73312448553569	0.986642108687501	-6.66749234048897	0.455242860840129
Glycerol tribenzoate	-12.8017209079447	0.109951712233766	-12.8017209079447	0.109951712233765	0	1
2,4-Dihydroxy-7,8-dimethoxy-2H-1,4-benzoxazin-3(4H)-one 2-glucoside	10.9145925907765	0.00250256341469401	4.74009673194506	0.996571076700025	-6.17449585883142	0.00268233708843579
2-benzylsuccinic acid	2.57814210856189	0.329458226016099	0.761460564744519	0.974067194382448	-1.81668154381737	0.423454616484253
3',5'-di-O-methyltricetin	9.32570338784898	0.254073907698782	0	1	-9.32570338784898	0.254073907698782
1-(4-amino-1,2,5-oxadiazol-3-yl)-N-[(2-ethoxyphenyl)methylideneamino]-5-[(4-methyl-1-piperidinyl)methyl]-4-triazolecarboxamide	-0.0443169174676784	0.99976424444168	1.23549548451605	0.645188682199027	1.27981240198373	0.633474186709362
3-Hydroxy-1-(4-hydroxyphenyl)-1-propanone	2.0038893292812	0.200521209866646	-0.557700858324255	0.976139215538772	-2.56159018760546	0.153708167002739
6''-O-acetylgenistin	8.5745283410868	0.403563820725254	5.48531352197958	0.986019705820899	-3.08921481910722	0.480542531410864
hydroxytyrosol	2.28790742170592	0.619229397891399	0.0472135207466089	0.999961779565891	-2.24069390095931	0.623923561114658
taxifolin	12.2335591737531	0.482737477073795	2.28281037701872	0.999999466774019	-9.95074879673442	0.483237684394366
Ethyl vanillate	-2.73908069520589	0.283626547693641	-1.08368233099783	0.575863105528251	1.65539836420806	0.804520771335769
2-(Hydroxymethyl)-6-[2-(4-hydroxyphenyl)ethoxy]oxane-3,4,5-triol	9.26500788469724	0.480976964013147	-0.160878248325403	0.999999975456806	-9.42588613302265	0.480869908777144
xi-8-Hydroxyhexadecanedioic acid	12.8341718030109	0.482764059854397	1.13053203507094	0.999999978057798	-11.70363976794	0.482865508644285
3-Hydroxytetradecanedioic acid	9.72653813444186	0.4820816343184	-2.07436731290438	0.999999326996893	-11.8009054473462	0.481520457563293
biphenyl-2,2'-diol	13.5377429828218	0.482218109092727	0	1	-13.5377429828218	0.482218109092727
tetradecanedioic acid	11.4502062055201	0.482583206139141	1.24498214664549	0.999999801462524	-10.2052240588746	0.482888338252163
