"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1065_462.14_3.3",1065,462.137075323807,3.34629818421053,"C20H25NO10"
"1066_550.31_5.6",1066,550.314003499349,5.6083862,"C26H50NO10P"
"1067_228.07_1.2",1067,228.072547436526,1.18611853125,"C7H9N5O4"
"1068_245.23_7.3",1068,245.225964500791,7.2896167,"C18H30O"
"1069_356.32_9.6",1069,356.315764771683,9.62925902,"C21H41NO3"
"107_420.15_2",107,420.150128816737,2.04752808421053,"C16H23N5O7"
"1070_753.59_10",1070,753.588529704455,9.97599462941177,"C41H83N2O6P"
"1071_626.17_3",1071,626.170913696289,3.01482763333333,"C34H27NO11"
"1072_577.28_6.9",1072,577.277384440504,6.8921441,"C32H42O8"
"1073_189.05_2.2",1073,189.048081715902,2.1783187,"C10H8N2S"
"1074_320.26_7.2",1074,320.255828857606,7.1794139,NA
"1075_729.33_3.3",1075,729.333204269409,3.3300946,"C43H46N4O8"
"1076_343.33_8",1076,343.331776937618,8.01766420416667,"C20H42N2O2"
"1077_518.33_6.6",1077,518.332540411698,6.58108675789474,"C27H43N5O5"
"1078_560.31_7.9",1078,560.31138865153,7.9052405,"C26H52NO7P"
"1079_479.37_10.8",1079,479.374306640625,10.80107648,"C29H50O5"
"108_518.32_7.7",108,518.321942782665,7.68074041578947,"C24H50NO7P"
"1080_434.27_2.7",1080,434.274694125425,2.6808538,"C22H37N5O5"
"1081_420.13_1.8",1081,420.126692199932,1.832209715,NA
"1082_440.34_6.7",1082,440.337075914903,6.67189130714286,"C25H45NO5"
"1083_325.11_0.7",1083,325.112993164365,0.6508739564,"C12H22O11"
"1084_763.46_9.9",1084,763.458439418825,9.87345164285714,NA
"1085_387.2_2.7",1085,387.201159795949,2.7189055125,"C19H30O8"
"1086_227.1_1.7",1086,227.102483215712,1.71767446,"C10H14N2O4"
"1087_315.25_6.5",1087,315.252951883299,6.52952725,"C18H34O4"
"1088_320.26_7.9",1088,320.255871727353,7.86048075714286,NA
"1089_568.43_10.8",1089,568.427647705078,10.8302434,"C36H58NO2P"
"109_535.15_2.5",109,535.153664981618,2.50476179411765,NA
"1090_305.09_3.1",1090,305.089049203055,3.05123091428571,"C16H13F3N2O2"
"1091_492.24_4.5",1091,492.243791126327,4.54968699047619,"C18H33N7O9"
"1092_391.32_4.9",1092,391.315714056528,4.85469034545455,NA
"1093_383.18_3.2",1093,383.182016226648,3.21562767692308,"C17H24N6O3"
"1094_747.61_11.7",1094,747.607311751483,11.7434316521739,"C51H80O2"
"1095_621.56_7.3",1095,621.555861155885,7.264835925,NA
"1096_599.32_8.4",1096,599.319468180987,8.37202419166667,"C27H51O12P"
"1097_570.22_2.8",1097,570.21838684082,2.795847275,"C30H33N3O7"
"1098_247.13_1.5",1098,247.128735418651,1.54989559565217,"C10H18N2O5"
"1099_520.2_3.2",1099,520.204746021944,3.19636105882353,"C20H35NO13"
"11_230.25_5.8",11,230.247779541016,5.787814208,"C14H31NO"
"110_337.18_3.1",110,337.180366007487,3.10619767333333,"C18H23FN4"
"1100_584.51_12",1100,584.505634854311,11.957705,NA
"1101_137.03_0.8",1101,137.026849445544,0.810754756315789,"C4H8O3S"
"1102_543.35_9.2",1102,543.351409915822,9.20000286666666,NA
"1103_607.25_8.7",1103,607.253854980988,8.670865468,NA
"1104_401.17_1.1",1104,401.165154708059,1.13466179473684,"C16H24N4O8"
"1105_237.18_3.2",1105,237.184629742424,3.24460467894737,"C15H26O3"
"1106_198.19_5.3",1106,198.185195922852,5.315315044,"C12H25NO2"
"1107_492.21_3.7",1107,492.207542056623,3.6994141047619,"C19H35NO12"
"1108_796.59_11.6",1108,796.58715057373,11.5948831666667,"C45H82NO8P"
"1109_207.1_2.9",1109,207.104739234734,2.9480061047619,"C9H18O3S"
"111_355.1_1.7",111,355.100308228442,1.728276448,"C14H20O9"
"1110_279.23_6.5",1110,279.23179321311,6.514173952,"C18H32O3"
"1111_307.09_2.5",1111,307.092218499435,2.51119316842105,"C14H14N2O6"
"1112_474.23_3.6",1112,474.233146218693,3.64279381764706,"C23H31N5O6"
"1113_748.48_9.5",1113,748.475769043671,9.48813301,"C40H71NO9"
"1114_265.14_5.5",1114,265.139968872801,5.47276804166667,"C11H24N2OS2"
"1115_325.21_2.7",1115,325.212467487098,2.74724862307692,"C17H28N2O4"
"1116_308.16_3.5",1116,308.160281953477,3.5119476952381,"C15H21N3O4"
"1117_403.24_3.8",1117,403.243912916917,3.76035755384615,NA
"1118_138.13_2.6",1118,138.127695184005,2.60280374736842,"C9H17NO"
"1119_201.15_3.7",1119,201.148320285145,3.66283439090909,"C11H22O4"
"112_219.1_0.7",112,219.097603246243,0.65211903,"C8H14N2O5"
"1120_391.09_2.2",1120,391.09310190363,2.1766429,"C16H20N2O6S"
"1121_458.44_11.7",1121,458.435679844448,11.7319931428571,"C31H55NO"
"1122_383.18_3.2",1122,383.181970449594,3.21562767692308,"C17H24N6O3"
"1123_223.1_5.8",1123,223.096387329102,5.79041218,"C12H14O4"
"1124_416.13_2.3",1124,416.131479645309,2.28311837,NA
"1125_463.16_3",1125,463.160614013672,3.04513160526316,"C23H26O10"
"1126_172.13_3.1",1126,172.132978515625,3.068111384,"C9H17NO2"
"1127_731.61_10.6",1127,731.606536865596,10.6428878421053,NA
"1128_486.26_6.5",1128,486.26130065918,6.46332832,"C26H41NO5"
"1129_494.22_3.8",1129,494.222126008194,3.7676294,"C26H34FN3O3"
"113_636.25_3.9",113,636.249071011626,3.91461883529412,"C23H43N5O13"
"1130_232.08_1.3",1130,232.081438165151,1.32625523684211,"C9H15NO7"
"1131_304.28_6.1",1131,304.284136964611,6.10513833,"C17H37NO3"
"1132_504.31_7.7",1132,504.308254535382,7.74600063076923,"C27H41N3O6"
"1133_212.16_3.1",1133,212.164475708069,3.127661704,"C12H23NO3"
"1134_257.14_2.5",1134,257.137065686911,2.52876614210526,"C9H18N6O4"
"1135_270.15_1.3",1135,270.154943085068,1.33484004,"C10H23NO7"
"1136_246.06_1.4",1136,246.060674667358,1.419265835,NA
"1137_366.86_0.5",1137,366.863291168213,0.5400766805,NA
"1138_202.13_2.3",1138,202.126046316964,2.31671665238095,"C10H19NOS"
"1139_295.23_6.7",1139,295.226855070695,6.66636844782609,NA
"114_386.22_2.7",114,386.220428466797,2.68863729,"C20H30FN3O2"
"1140_295.23_7.9",1140,295.226716918945,7.919193072,"C18H30O3"
"1141_265.02_1.5",1141,265.023781155727,1.45314170434783,"C5H14O8P2"
"1142_227.1_2.4",1142,227.102557898015,2.39590896875,"C10H16N2O5"
"1143_570.15_2.6",1143,570.145883561325,2.63974690625,"C22H29NO15"
"1144_354.16_2.4",1144,354.158113267687,2.43259456111111,"C15H25N5O4S"
"1145_374.15_2.5",1145,374.145093994141,2.548926004,"C16H25NO10"
"1146_258.11_1.7",1146,258.110729564476,1.70119850454545,NA
"1147_461.15_3.7",1147,461.154922485352,3.72901215789474,"C22H24N2O9"
"1148_638.42_9.6",1148,638.418823242188,9.5960688,"C35H60NO7P"
"1149_409.19_2",1149,409.188099108244,2.04262214736842,"C22H24N4O4"
"115_682.25_3.6",115,682.246567575555,3.63557547368421,NA
"1150_371.17_2.5",1150,371.167841826047,2.45830245454545,"C18H28O9"
"1151_219.1_3.6",1151,219.101446533415,3.577900645,"C13H16O4"
"1152_468.35_9",1152,468.34538341851,9.00197890952381,"C23H50NO6P"
"1153_190.13_1.7",1153,190.12602415539,1.69872139047619,NA
"1154_346.26_4.8",1154,346.258641968521,4.751062524,"C18H35NO5"
"1155_231.17_2.2",1155,231.17033179669,2.21304080833333,"C11H22N2O3"
"1156_212.09_3.4",1156,212.09150254099,3.42743412631579,"C10H13NO4"
"1157_754.54_11.1",1157,754.542871706345,11.10793964,NA
"1158_335.26_6.9",1158,335.258055187407,6.89367502380953,"C21H34O3"
"1159_349.09_1.6",1159,349.090210765349,1.5807368,NA
"116_320.26_8",116,320.255824877651,8.00746367391305,NA
"1160_203.11_11.6",1160,203.109892272949,11.560437,"C10H20O3S"
"1161_543.24_3.6",1161,543.24123824446,3.60779916315789,NA
"1162_145.05_1.6",1162,145.049478759766,1.623101364,NA
"1163_806.56_10.2",1163,806.56377182333,10.1572925,"C44H82NO8P"
"1164_277.11_3",1164,277.110162353516,3.021255255,"C12H20O5S"
"1165_230.99_0.7",1165,230.990310305641,0.662295241904762,"C5H11O4PS2"
"1166_145.14_1.5",1166,145.144717048196,1.5169225,"C6H16N4"
"1167_354.26_6.4",1167,354.263752443512,6.403653528,"C20H37NO5"
"1168_234.1_4.6",1168,234.097648010254,4.648198992,"C10H19NOS2"
"1169_782.57_10",1169,782.568044433594,9.974075028,"C42H82NO8P"
"117_368.39_11.3",117,368.388940720331,11.2634364285714,"C24H49NO"
"1170_337.27_7.5",1170,337.27326782395,7.4858567,"C21H38O4"
"1171_254.25_8.7",1171,254.247568359515,8.723688368,NA
"1172_581.19_2.9",1172,581.186581780113,2.93804418235294,"C27H34N4O5S2"
"1173_265.02_1.4",1173,265.02390853302,1.43826499565217,NA
"1174_605.53_11.3",1174,605.529948515051,11.3303738235294,"C40H70O2"
"1175_295.23_7.7",1175,295.226647338867,7.684761308,"C18H30O3"
"1176_407.22_7.6",1176,407.222555541992,7.64408039333333,"C27H28N4O"
"1177_588.53_11.7",1177,588.532070583767,11.700137,NA
"1178_452.18_5.1",1178,452.180830819266,5.13681043571429,"C24H27N3O7"
"1179_432.19_2.7",1179,432.186871484469,2.66443667619048,"C20H25N5O6"
"118_782.57_9.1",118,782.568565674255,9.125370436,"C44H80NO8P"
"1180_284.11_2",1180,284.112633599455,1.9838715,"C13H17NO6"
"1181_169.04_0.8",1181,169.035545797909,0.767714656470588,"C5H4N4O3"
"1182_250.11_2.9",1182,250.110597398546,2.86958981111111,"C10H19NO4S"
"1183_784.48_9.3",1183,784.476522827148,9.317516435,"C48H67NO9"
"1184_420.17_2.6",1184,420.165923345889,2.61241885714286,"C22H29NO3S2"
"1185_183.14_8.5",1185,183.13808013916,8.505239268,"C11H18O2"
"1186_409.27_8.5",1186,409.27275808234,8.54451124210526,NA
"1187_236.13_1.7",1187,236.131184896625,1.69971554583333,"C10H21NO3S"
"1188_669.29_9.9",1188,669.291812294408,9.91021971578947,NA
"1189_394.21_3.6",1189,394.207421112061,3.61988435,NA
"119_565.4_10.3",119,565.404636928013,10.2863835238095,"C40H52O2"
"1190_437.21_4.2",1190,437.214381747776,4.16833218333333,NA
"1191_290.11_2.6",1191,290.113389333324,2.61217584444444,"C14H15N3O4"
"1192_183.14_8.2",1192,183.137810668945,8.192357744,"C11H18O2"
"1193_377.16_2.7",1193,377.160527038574,2.68915635,"C20H26O8"
"1194_372.17_4.5",1194,372.165169163846,4.53734414210526,"C18H21N5O4"
"1195_249.12_2",1195,249.11519241333,2.04505362222222,"C11H20O4S"
"1196_466.2_5.1",1196,466.196827888489,5.137075825,"C25H29N3O7"
"1197_182.08_3.4",1197,182.081059265137,3.44817906,"C9H11NO3"
"1198_587.47_11.2",1198,587.46746673584,11.18003115,"C35H64O5"
"1199_332.28_6.6",1199,332.27958984375,6.601161712,NA
"12_483.35_11.2",12,483.345005236174,11.1542560526316,NA
"120_264.11_2.4",120,264.107907976634,2.37299650952381,"C10H19NO8"
"1200_221.1_0.9",1200,221.102087723581,0.899618502631579,"C9H18O7"
"1201_376.18_7.4",1201,376.180097791884,7.42188652777778,"C26H21N3"
"1202_444.42_11.5",1202,444.420166742234,11.473661952381,"C30H53NO"
"1203_381.17_2.9",1203,381.165971121159,2.94829105833333,"C19H22N6O4"
