CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
683	3743	5	0.9705	-44.027
972	3743	5	1.0	-0.001
1200	3743	5	0.9333	44.026
2064	3743	5	0.9015	44.026
2795	3743	5	0.8459	-64.140
683	2064	5	0.8971	-88.053
972	2064	5	0.9015	-44.027
1200	2064	5	0.9133	0.000
2064	2795	5	0.8516	108.166
1049	4123	5	0.7002	56.077
683	2384	5	0.852	196.275
683	972	5	0.9705	-44.026
683	1200	5	0.9116	-88.054
972	1200	5	0.9333	-44.027
972	2795	5	0.8459	64.140
976	1049	5	0.7711	-176.104
976	2461	5	0.7672	0.000
80	383	6	0.8251	214.230
80	1276	6	0.8722	-56.062
80	2563	6	0.8251	214.230
80	3767	6	0.9094	0.000
80	4196	6	0.975	0.000
80	4296	6	0.8154	59.964
80	4377	6	0.8722	-56.062
846	1542	6	0.7969	-14.016
1518	1542	6	0.8007	-0.001
1542	4178	6	1.0	0.000
1542	4291	6	0.8007	-0.000
1542	4298	6	0.792	-0.005
1542	4319	6	0.8398	-0.005
1542	4338	6	0.7695	-44.032
1400	4234	6	0.8626	-44.027
1407	4234	6	0.7946	-132.079
1416	4234	6	0.7686	-0.002
1423	4234	6	0.8311	-88.053
4136	4234	6	0.7686	-0.001
4199	4234	6	0.8026	-132.079
4202	4234	6	0.8476	-88.052
4205	4234	6	0.8626	-44.027
99	473	6	0.9212	33.984
404	473	6	0.8937	23.975
473	705	6	0.86	-8.916
473	3926	6	0.9183	-33.977
846	4298	6	0.7663	-14.021
1518	4298	6	0.833	-0.005
4178	4298	6	0.792	-0.005
4237	4298	6	0.7876	44.023
4291	4298	6	0.833	-0.004
4298	4319	6	0.8126	-0.000
41	1264	6	0.8839	-16.042
404	1264	6	0.8676	9.984
1264	2582	6	0.9823	-0.073
33	41	6	0.9333	18.010
33	46	6	0.7771	0.995
33	58	6	0.7771	0.984
33	234	6	0.9273	17.974
33	2045	6	0.8845	18.003
33	2515	6	0.9045	17.974
33	2536	6	0.8994	18.003
33	2842	6	0.9045	17.974
33	3049	6	0.9785	0.006
33	3960	6	0.9495	0.000
33	3965	6	0.896	18.010
3767	4296	6	0.7872	59.964
4196	4296	6	0.8175	59.964
4258	4296	6	0.7874	88.053
1400	4202	6	0.9016	44.026
1407	4202	6	0.9296	-44.027
1423	4202	6	0.9471	-0.000
4199	4202	6	0.9236	-44.027
4202	4205	6	0.9016	-44.026
4202	4242	6	0.7999	58.036
4202	4258	6	0.8027	61.053
4202	4270	6	0.8125	-28.032
4202	4285	6	0.8036	14.010
41	3960	6	0.9226	-18.010
234	3960	6	0.9353	-17.974
2045	3960	6	0.8917	-18.003
2515	3960	6	0.9173	-17.974
2536	3960	6	0.9102	-18.003
2842	3960	6	0.9173	-17.974
3049	3960	6	0.9651	-0.006
3960	3965	6	0.915	18.010
784	846	6	0.9034	-14.015
846	1518	6	0.8361	-14.016
846	2838	6	0.9162	-0.000
846	4178	6	0.7969	-14.016
846	4291	6	0.8361	-14.017
846	4319	6	0.8462	-14.022
234	2842	6	0.9062	0.000
2045	2842	6	0.8981	-0.029
2515	2842	6	1.0	0.000
2536	2842	6	0.9119	-0.029
2842	3049	6	0.9218	-17.968
2842	3965	6	0.926	0.036
41	3926	6	0.8836	-36.029
99	3926	6	0.9847	0.007
404	3926	6	0.9116	-10.002
2405	3926	6	0.9138	99.076
2582	3926	6	0.8396	-19.914
3880	3926	6	0.8752	29.034
46	58	6	1.0	-0.011
58	2046	6	0.9409	0.000
58	2052	6	0.9409	0.000
58	4014	6	0.9412	0.011
41	99	6	0.8989	-36.036
41	234	6	0.9443	-0.036
41	404	6	0.9137	-26.027
41	1525	6	0.8741	-26.026
